tyc	hip	hd	gl	gaia_source_id	reason
100-882-1		287651		3233705379949054848	refused_no_defensible_parallax
100-890-1		287799		3222115079986636672	refused_no_defensible_parallax
1045-340-1		230878		4312784538334849920	refused_no_defensible_parallax
1065-2087-1		355675		4303152855164360576	refused_no_defensible_parallax
1066-1256-1		187447		4305160151071351424	refused_no_defensible_parallax
1076-2086-1		356813		4299760174570571392	refused_no_defensible_parallax
1112-2519-1	104066				no_parallax_published
1159-236-1		215911		2732045812431202688	refused_no_defensible_parallax
128-696-1		248540		3322820385064476928	refused_no_defensible_parallax
1287-1149-1	24317	241630		3395550296101425408	refused_no_defensible_parallax
1296-1113-1		243451		3390775460697937408	no_parallax_published
1300-788-1		242985		3394485174275152256	refused_no_defensible_parallax
1313-276-1		251497		3345579721706291712	refused_no_defensible_parallax
1313-844-1		251704		3345530999596461440	refused_no_defensible_parallax
132-889-1		288529		3124395984067551488	refused_no_defensible_parallax
145-2187-1		257581		3324349221625295872	refused_no_defensible_parallax
1490-762-1		137740		1208832705967347456	refused_no_defensible_parallax
1501-1085-1	76761	139952		1217154050488751872	refused_no_defensible_parallax
1574-1293-1	90996	171365		4523973547779600384	refused_no_defensible_parallax
1595-2052-1	91916	349248		4530955343539786624	refused_no_defensible_parallax
1601-483-1		231518		4321716390990101760	refused_no_defensible_parallax
1602-1553-1		185307		4321811361346487680	refused_no_defensible_parallax
161-1020-1		266372		3133009180204945280	refused_no_defensible_parallax
1611-632-1		180215		4520193564272524160	refused_no_defensible_parallax
1631-1739-1		355472		1808871587483103616	refused_no_defensible_parallax
1659-863-1		347626		1814875165783892096	refused_no_defensible_parallax
1724-1309-1		223402		2822061592447904768	refused_no_defensible_parallax
1834-504-1		283812		148200943220970240	refused_no_defensible_parallax
1840-1032-1		283992		153950938062645888	refused_no_defensible_parallax
1870-1577-1		247875		3443019301152654720	refused_no_defensible_parallax
1877-1418-1		252919			no_parallax_published
1878-40-1		255947		3377665193289172224	refused_no_defensible_parallax
2039-6-1	77147	140889		1224952302344443776	refused_no_defensible_parallax
2100-2021-1		335762		4579865400306113536	refused_no_defensible_parallax
2101-880-1		336084		4586391482853149440	refused_no_defensible_parallax
2108-1379-1		343145		4532518363729214976	refused_no_defensible_parallax
2138-980-1	96443	185058		2021046927632673280	refused_no_defensible_parallax
2143-1926-1		338755		2021555383015224192	refused_no_defensible_parallax
2154-2751-1		346003		1830435145122443520	refused_no_defensible_parallax
2170-1709-1		347367		1843134092088234880	refused_no_defensible_parallax
2179-532-1		335277		1857796320168036480	refused_no_defensible_parallax
2306-1267-1	8072			319414729233831936	refused_no_defensible_parallax
