gaia_source_id	hip
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	104833
	110145
	111584
	115983
	17642
	18487
	20560
	26220
	26402
	26500
	30799
	31781
	33543
	34356
	43692
	45789
	46653
	66859
	66984
	72589
	763
	77442
	83042
	83369
	92400
	94279
1822011958340021504	
1828002991072296832	
1832794044238733184	
2020088874998745600	
2033142689388971904	
2313603126059612032	
3129800088019323136	33031
3364625015445132160	
3374467121984047616	
3448162477248680704	
4050465429355728768	
4055549364931696000	
4069786528673721728	
413774782779964544	
4251581980307272576	92322
430488493398780288	1743
449231387073720704	17286
459101393719884800	11093
4685876050900066176	3934
477735092147439616	22125
508121436018447744	8772
5337869060142612224	
5343640396649042816	
5925368840444421888	
5936033755321547264	
5942811424219689728	
5958568868968120576	
5959987616918959360	
5961162303292264576	
5970190191419437696	
5976113943440007040	
6458779692402122368	
6849895460375124224	
