hd	hip	hd_route_source_ids	hip_route_source_id
10360	7751	4911306239828325632	4911306239828325760
22091	16664	68486380271398912	68486384567412992
24554	18255	3247049327941271424	3247046373003772032
30020	21986	3185880919107361024	3185880919107441920
32964	23794	3212019815193261568	3212019815194396288
48250	32438	1001751476266970496	1001751471970061184
71150	41404	680022210631907840	680022210631907456
75737	43496	5757113251781183104	5757113256075639424
82383	46657	5632038276500795648	5632038276500794496
100286	56280	3482326708703712640	3482326708703712896
100600	56473	3973470065974214272	3973470065974214784
104827	58858	3999857073730936192	3999857073730936448
119425	66936	3713442334873031040	3713442334873623936
138690	76297	6002777448330124160	6002777448326587264
139891	76669	1374695306328813696	1374695306328813568
149730	81589	5927710113024735360	5927710108691789952
164668	88267	4576147848417217536	4576147844112599424
173607	91926	2098202128100428288	2098202128093842432
182572	95447	4315804351350378496	4315804282633172352
187259	97473	4304528683497202688	4304528687797449984
195593	101214	2057760372440694784	2057760376738256384
