gaia_source_id	label	field	spine	overlay	applied	disposition
4911306239828325760	p Eridani / HD 10361	hip		7751		suppressed-collision
898506093171335424	Gaia 898506093171335424	hip		36626		suppressed-collision
1002469148121650944	HIP 33048 / HD 49618	hd	49618	49618|49619	49619	extra-sibling-rendered
1068346971415274880	HIP 46960	hd		82285		suppressed-collision
1070770191963666816	HIP 47461 / HD 83270	hd	83270	83270|83271	83271	extra-alias
1083139560337156992	HIP 39878	hd		66976	66976	added
111968221155410560	HIP 14376 / HD 19134	hd	19134	19134|19135	19135	extra-sibling-rendered
1175827016168739456	HIP 70327 / HD 126128	hd	126128	126129	126129	overlay-wins
1185648953539868800	HIP 71795 / HD 129246	hd	129246	129247	129247	overlay-wins
1186926414252534912	HIP 73543	hd		133031		suppressed-collision
125355118820537600	HIP 14924	hd		278430	278430	added
1260940039477011200	HIP 69523 / HD 124587	hd	124587	124587|124588	124588	extra-sibling-rendered
1279798794197267072	Izar / HIP 72105 / HD 129988	hd	129988	129989	129989	overlay-wins
1372399457330033536	HIP 78649 / HD 144208	hd	144208	144208|144209	144209	extra-alias
1374656960858803072	HIP 76566	hd		139691		suppressed-collision
1374695306328813568	HIP 76669 / HD 139891	hd	139891	139892	139892	overlay-wins
1380911464035595776	HIP 79957 / HD 147275	hd	147275	147275|147276	147276	extra-sibling-rendered
151222023217990016	HIP 20895	hd		283646	283646	added
152008414550182784	HIP 20652	hd		283648	283648	added
1534726543690693760	HIP 60791 / HD 108464	hd	108464	108464|108465	108465	extra-alias
157078601966817152	HIP 23608 / HD 32447	hd	32447	282867	282867	overlay-wins
157350701032081792	HIP 23302	hd		282724	282724	added
159904351147143040	HIP 22677	hd		282528	282528	added
1690803628003157504	HIP 60127	hd		107360	107360	added
173000664208094080	HIP 21197	hd		279984	279984	added
1742076603985458304	HIP 105747 / HD 203943	hd	203943	203943|203944	203944	extra-sibling-rendered
1763406098773035136	HIP 103890 / HD 200428	hd	200428	200428|200429	200429	extra-alias
1764865081981608832	HIP 103678	hd		200045	200045	added
1801210568415251072	HIP 107310 / HD 206826	hd	206826	206827	206827	overlay-wins
1802751400823972736	HIP 99754	hd		357112	357112	added
1813778712174215680	HIP 103028 / HD 198810	hd	198810	198810|198811	198811	extra-sibling-rendered
1819326366813174784	HIP 101870 / HD 196753	hd	196753	196753|196754	196754	extra-alias
1820374029621976704	HIP 97904 / HD 188262	hd	188262	188262|188263	188263	extra-alias
1821240857113023488	HIP 97699	hd		350713	350713	added
1823476232957094400	HIP 120148	hd		351151	351151	added
1826624856333297536	HIP 97563	hd		345055	345055	added
1828149707142474240	HIP 98000	hd		345180	345180	added
1832473811473526912	HIP 100682	hd		340279	340279	added
1855600767245086464	HIP 101850	hd		340719|340720	340719	added
1855600767245086464	HIP 101850	hd		340719|340720	340720	extra-alias
1856158421494882176	HIP 102238	hd		340923	340923	added
1857076174414729984	HIP 101497	hd		340531	340531	added
1859142496051862016	HIP 102004	hd		334958	334958	added
189818660926506624	HIP 26803 / HD 37614	hd	37614	37614|37615	37615	extra-alias
190371646553998592	HD 281098	hd	281098	35908|281098	35908	extra-alias
1993663624847117568	HIP 118287 / HD 224646	hd	224646	224646|224647	224647	extra-alias
2019556814492396544	HIP 96192	hd		344546	344546	added
2020506380187203200	HIP 97209 / HD 186745	hd	186745	186745|186746	186746	extra-alias
2023341986313844864	HIP 94341	hd		343877	343877	added
2026641620708032640	HIP 97765 / HD 187982	hd	187982	187982|187983	187983	extra-alias
2026759680771273216	HIP 97795	hd		188060		suppressed-collision
2031777881890550656	HIP 97174	hd		332544	332544	added
203399656754949888	HIP 22452	hd		276885	276885	added
2053794438305564672	HIP 100141	hd		334032	334032	added
2064979667011780992	HIP 102648 / HD 198287	hd	198287	198287|198288	198288	extra-sibling-rendered
2084032554258818944	HIP 100859 / HD 195068	hd	195068	195068|195069	195069	extra-alias
2090687795056051328	Sheliak / HIP 92420 / HD 174638	hd	174638	174638|174639	174639	extra-sibling-rendered
2098202128093842432	HIP 91926 / HD 173607	hd	173607	173608	173608	overlay-wins
2131377009542941440	HIP 93473 / HD 177390	hd	177390	177390|177391	177391	extra-alias
2132788541955849984	HIP 94336 / HD 179957	hd	179957	179958	179958	overlay-wins
2141655450397401472	HIP 96003 / HD 184398	hd	184398	184398|184399	184399	extra-alias
2143847082010882176	HIP 92204 / HD 174343	hd	174343	174343|174344	174344	extra-sibling-rendered
2144499440301348480	HIP 92556 / HD 234730	hd	234730	234729|234730	234729	extra-alias
2156998993426001280	HIP 91921 / HD 174016	hd	174016	174016|174017	174017	extra-alias
2162766279834057728	HIP 104220 / HD 201270	hd	201270	201270|201271	201271	extra-alias
216681447977356544	HIP 17468	hd		281159		suppressed-collision
2180169006262367104	HIP 101398 / HD 196088	hd	196088	196088|196089	196089	extra-sibling-rendered
2190848700139092224	HIP 103130 / HD 199306	hd	199306	199306|199307	199307	extra-sibling-rendered
2220030941329824256	HIP 109339	hd		210604		suppressed-collision
223354555846989952	HIP 17536	hd		275839	275839	added
223905857848701184	HIP 17719	hd		275812	275812	added
2281720140715569536	HIP 115513 / HD 220636	hd	220636	220636|220637	220637	extra-alias
2286942374270097664	HIP 111852 / HD 215318	hd	215318	215318|215319	215319	extra-alias
235455231065085824	HIP 15466	hd		275227	275227	added
2385897355615864192	HIP 114375 / HD 218640	hd	218640	218640|218641	218641	extra-sibling-rendered
2390140645865479168	HIP 117610	hd		223621		suppressed-collision
2390282585944752128	HIP 117824 / HD 223932	hd	223932	223932|223933	223933	extra-alias
2393445601724538496	HIP 115614 / HD 220611	hd	220611	220611|220612	220612	extra-alias
239412613932870272	HIP 15446	hd		275052	275052	added
2493243363030533632	HIP 10382 / HD 13728	hd	13728	13728|13729	13729	extra-alias
2626011522388850176	HIP 109874	hd		211140	211140	added
2809005372903101824	HIP 3885 / HD 4757	hd	4757	4758	4758	overlay-wins
2834054034490190720	HIP 111669	hd		214360	214360	added
2875096978193873024	HIP 118281 / HD 224635	hd	224635	224636	224636	overlay-wins
2923950964174723584	HIP 31736 / HD 47579	hd	47579	47579|47580	47580	extra-alias
2977091769892115968	HIP 21900 / HD 29961	hd	29961	29961|29962	29962	extra-alias
3040314066444966272	HIP 37041 / HD 60966	hd	60966	60966|60967	60967	extra-alias
3091628583352666496	HIP 40597 / HD 69479	hd	69479	69479|69480	69480	extra-alias
3102830339100413568	HIP 33004	hd		295631	295631	added
3105511326404616960	HIP 32573	hd		295525	295525	added
3105581901307930752	HIP 32214	hd		295354	295354	added
3105887531181501696	HIP 32600	hd		295522	295522	added
