gaia_source_id	hip	v_mag	v_via	g_mag	reason	designations
1136266793959423104		8.303	tycho2	9.488	mag	HD 58070
1147424328720204160		8.532	tycho2	13.671	mag	HD 81974
1396979589523236864		7.746	tycho2	9.179	mag	HD 141930
152375342196706816		7.418	tycho2	8.589	mag	HD 283576
1579798136652648320		9.037	tycho2	10.487	mag	HD 111795
1669449084967072000		10.830	gliese	15.769	mag	GJ 9492B
1800808220172866048		9.880	gliese	12.531	mag	GJ 835B
181055690691149952		11.785	tycho2	12.805	mag	HD 242382
1814238754708330368		11.296	tycho2	12.436	mag	HD 352767
1816229661026574848		8.763	tycho2	10.567	mag	HD 352137
1819823174281948672		11.337	tycho2	12.395	mag	HD 353797
1820831563913425408		8.928	tycho2	10.139	mag	HD 187484
1825382030176849408		9.839	tycho2	13.205	mag	HD 231788
182625346620922112		11.650	tycho2	12.703	mag	HD 35556
1832200960784047616		11.365	tycho2	12.904	mag	HD 346085
1834152319043060352		9.859	tycho2	11.127	mag	HD 345278
1858126242383147904		9.688	tycho2	11.013	mag	HD 335181
1862484981346361344		9.625	tycho2	10.648	mag	HD 334871
1892539307048909184		10.350	gliese	15.510	mag	GJ 851.5B
1893006805648528512		8.737	tycho2	9.950	mag	HD 208838
1937923436195005440		8.138	tycho2	21.341	mag	HD 220221
2067705390688727552		9.749	tycho2	11.251	mag	HD 229286
2073658902571683072		10.609	tycho2	19.529	mag	HD 225987
2104025008534699776		9.114	tycho2	10.417	mag	HD 177485
2186922756428117632		5.907	tycho2	8.753	mag	HD 195554 · HR 7843
235631084204458752		11.319	tycho2	12.386	mag	HD 275115
239448932173523456		11.315	tycho2	16.861	mag	HD 275156
2458336342749284096		9.987	tycho2	11.043	mag	HD 8421
2653762611757213568		10.058	tycho2	13.903	mag	HD 214100
2703757298483054848		13.680	gliese	14.759	mag	GJ 4277B
2732525611816960896		9.031	tycho2	13.793	mag	HD 215692
2894658703101419136		8.347	tycho2	10.234	mag	HD 47788
2953012087286102784		8.938	tycho2	10.595	mag	HD 49506
2983256662868370048		8.790	gliese	14.332	mag	GJ 3346B
2993376980209425792		9.203	tycho2	19.375	mag	HD 44115
3048593526448143488		11.078	tycho2	12.082	mag	HD 57296
3082982264427123840		9.453	tycho2	10.904	mag	HD 66878
3088713503147594496		9.738	tycho2	11.175	mag	HD 61999
3104986648901745280		9.209	tycho2	10.658	mag	HD 46326
3106907087691837312		10.623	tycho2	11.850	mag	HD 292013
3108729352122339968		11.544	tycho2	12.575	mag	HD 296039
3114392043169531392		11.018	tycho2	12.076	mag	HD 289802
3117704562465965824		7.936	tycho2	9.444	mag	HD 43462
3129398182155093760		11.167	tycho2	12.194	mag	HD 264537
3130992611458940288		11.581	tycho2	12.618	mag	HD 261336
3131856243483367552		11.778	tycho2	13.106	mag	HD 260418
3220560580998113152		10.716	tycho2	11.777	mag	HD 290435
3235885299189354496		12.800	gliese	15.170	mag	GJ 1080B
3240393056345660544		10.839	tycho2	12.081	mag	HD 242128
3324392789773519104		11.938	tycho2	13.068	mag	HD 258688
3324941407415728640		10.862	tycho2	12.117	mag	HD 255119
3331094965975203072		9.209	tycho2	11.778	mag	HD 257859
3334832171640236032		8.424	tycho2	9.492	mag	HD 37300
3351964658748093696		11.672	tycho2	13.006	mag	HD 262135
3357210085127324928		10.831	tycho2	11.839	mag	HD 258814
3371556268028744576		11.413	tycho2	12.505	mag	HD 261834
3372239996760122624		11.223	tycho2	12.272	mag	HD 258774
3382780666839058560		11.299	tycho2	12.707	mag	HD 261320
3389866576898972032		9.511	tycho2	10.988	mag	HD 244342
3399748987413339648		10.536	tycho2	11.998	mag	HD 247385
3419487351434517632		9.854	tycho2	11.334	mag	HD 284040
3423484346781287808		11.691	tycho2	12.745	mag	HD 252707
3425444539793249024		11.162	tycho2	13.515	mag	HD 252919
3425513362348883584		11.431	tycho2	12.452	mag	HD 252461
3429629070594507904		11.616	tycho2	12.837	mag	HD 249892
368083992962338048		9.106	tycho2	11.007	mag	HD 4926
376863662029791104		7.878	tycho2	9.112	mag	HD 6757
3897649565189298688		9.388	tycho2	17.227	mag	HD 102496
3943239882828182784		9.440	gliese	20.309	mag	GJ 499C
3958112980910237952		8.602	tycho2	10.026	mag	HD 112572
4035783611879028736		11.206	tycho2	14.066	mag	HD 163872
4036977376603551360		11.347	tycho2	12.708	mag	HD 324808
4037788811843881472		10.700	tycho2	12.188	mag	HD 324924
4041199913676403584		10.128	tycho2	17.864	mag	HD 320315
4062464498471104000		10.767	tycho2	11.911	mag	HD 316838
4087126720389585664		6.290	tycho2	8.897	mag	HD 177863 · HR 7241
4096874097118448768		11.321	tycho2	12.454	mag	HD 313246
4246929705999708544		11.084	tycho2	12.274	mag	HD 357851
4287124690043067392		8.971	tycho2	11.063	mag	HD 174004
4314058498659731456		10.332	tycho2	11.568	mag	HD 230799
4339417394313320192		9.690	gliese	13.813	mag	GJ 644CD
4343896976483088384		9.926	tycho2	17.452	mag	HD 147280
4479410169697937408		10.140	tycho2	11.417	mag	HD 172451
4531752008429960320		8.858	tycho2	17.609	mag	HD 172364
4535145719786807552		8.890	gliese	14.398	mag	GJ 718B
4535842427898126848		9.691	tycho2	11.179	mag	HD 342858
4579153874545600512		10.021	tycho2	11.109	mag	HD 341548
4585353303355153664		10.674	tycho2	11.781	mag	HD 336235
4634528720387797120		6.600	gliese	14.528	mag	GJ 3021B
4658217007125549568		12.094	tycho2	13.207	mag	HD 269190
47839171103979520		9.391	tycho2	10.614	mag	HD 285628
4799566171630256000		8.911	tycho2	10.766	mag	HD 35797
4802733039996228864		8.803	tycho2	10.302	mag	HD 38773
4811595859630353536		11.177	tycho2	12.180	mag	HD 272650
4852624170381960320		11.510	gliese	12.558	mag	GJ 3207
488613385312461056		7.825	tycho2	11.730	mag	HD 22776
493650660396520064		9.330	gliese	10.478	mag	GJ 153BC
4996141155411984128		12.840	gliese	18.372	mag	GJ 1001B
508003479036093184		8.989	tycho2	10.004	mag	HD 12122
5125415028162047488		8.430	gliese	18.573	mag	GJ 1048B
5136466567424464896		11.210	gliese	18.661	mag	GJ 3131B
5219916957356009088		10.061	tycho2	11.239	mag	HD 311457
5222039083513559552		9.513	tycho2	10.888	mag	HD 78192
5222914707092025600		7.138	tycho2	14.477	mag	HD 79629
524977670821387648		8.228	tycho2	16.373	mag	HD 6822
5255482890040398336		11.294	tycho2	12.565	mag	HD 90188
52581364754755584		8.857	tycho2	11.537	mag	HD 26802
528650348891859584		7.294	tycho2	8.502	mag	HD 1658
5300714225747721344		9.520	gliese	12.793	mag	GJ 3551B
5303235818218054656		8.916	tycho2	10.383	mag	HD 78230
5306276174038980992		9.939	tycho2	11.094	mag	HD 84372
5308077277137124736		10.053	tycho2	11.183	mag	HD 300356
5308435855376673920		9.231	tycho2	11.110	mag	HD 84979
5311809844247945088		10.912	tycho2	11.969	mag	HD 299831
5325466878172755200		9.918	tycho2	10.953	mag	HD 77141
5326745919426983552		9.099	tycho2	10.548	mag	HD 78401
