date	jd_tt	delta_t_s	type	gamma	umbral_magnitude	lat_deg	lon_east_deg
-1982 Jul 18	997331.348530	46023	T	-0.2744	1.3214	-24	-115
-1943 Jun 07	1011535.202917	45086	T	0.3259	1.2849	-20	-68
-0583 May 03	1508239.512639	18370	T	0.2792	1.3354	-13	71
-0518 May 05	1531982.615382	17388	T	-0.2884	1.3567	-14	29
0011 Jun 04	1725230.150139	10419	T	-0.2951	1.3183	-22	168
0086 May 17	1752605.874653	9684	T	0.3265	1.2507	-19	-96
1938 Nov 07	2429210.435208	24	T	0.2738	1.3525	17	19
1971 Feb 10	2440992.823160	41	T	0.2741	1.3082	15	-112
2080 Apr 04	2480858.974745	157	T	-0.2751	1.346	-6	-170
2098 Oct 10	2487621.888866	200	T	0.2749	1.3246	7	-143
2904 Jun 19	2781893.724144	3732	T	-0.2919	1.3119	-24	-64
2912 Jul 20	2784846.988264	3788	T	-0.2912	1.29	-21	-158
