date	jd_tt	delta_t_s	type	gamma	magnitude	lat_deg	lon_east_deg	path_width_km
-1977 Apr 11	999058.512384	45908	A	-0.0139	0.9927	0	9	26
-1912 Oct 05	1022978.162211	44337	A	0.0182	0.9371	2	126	234
-1174 Feb 12	1292297.393715	28536	A	-0.0013	0.943	-17	-18	211
-1145 Jan 23	1302869.409282	27986	T	-0.0012	1.0493	-22	-27	164
-0584 May 28	1507900.311690	18384	T	0.3201	1.0798	38	-45	271
-0549 Dec 25	1520893.844317	17843	A	-0.0002	0.9189	-24	131	308
-0523 Feb 15	1530078.230891	17466	T	0.0013	1.0252	-15	-6	86
0034 Mar 09	1733543.764398	10193	T	-0.0045	1.0594	-6	131	195
0045 Aug 01	1737707.007292	10080	Tm	-0.0011	1.0724	19	40	235
1133 Aug 02	2135100.016968	948	T	0.5423	1.0652	46	17	252
1191 Dec 18	2156421.719005	753	T	0.0008	1.0209	-24	105	71
1199 Jan 28	2159019.878785	732	H2	0.0033	1.0174	-16	51	60
1915 Aug 10	2420720.453067	18	A	0.0124	0.9853	16	-161	52
1919 May 29	2422108.047859	21	T	-0.2955	1.0719	4	-17	244
1991 Jul 11	2448449.296539	58	Tm	-0.0041	1.08	22	-105	258
1999 Aug 11	2451401.961215	64	T	0.5062	1.0286	45	24	112
2017 Aug 21	2457987.268519	70	T	0.4367	1.0306	37	-88	115
2024 Apr 08	2460409.262836	74	T	0.3431	1.0566	25	-104	198
2026 Aug 12	2461265.241042	75	T	0.8977	1.0386	65	-25	294
2038 Jul 02	2465607.064525	84	A	0.0398	0.9911	25	-22	31
2067 Jun 11	2476178.362801	129	A	-0.0387	0.967	21	-130	119
2928 Mar 13	2790561.736042	3898	T	0.0034	1.0225	-3	113	77
2928 Sep 05	2790737.923183	3901	H	-0.0052	1.0024	6	44	8
