jd_ut	subsol_lon_east_deg	subsol_lat_deg
661820.0000	2.135572	-21.906476
807920.0000	2.101857	-22.343933
990545.0000	2.092648	-22.807474
1173170.0000	2.107630	-23.185025
1355795.0000	2.156140	-23.474187
1538420.0000	2.231700	-23.671148
1721045.0000	2.332419	-23.772608
1903670.0000	2.462544	-23.775291
2086295.0000	2.592204	-23.676658
2268920.0000	2.728327	-23.475365
2378495.0000	2.797900	-23.308064
2415020.0000	2.853136	-23.240493
2451545.0000	2.860607	-23.171775
2461041.5000	182.865770	-23.156529
2488070.0000	2.895278	-23.102860
2597645.0000	2.994495	-22.859553
2707220.0000	3.042010	-22.581084
2780270.0000	3.096267	-22.379351
