body	jd_ut	ra_icrs_deg	dec_icrs_deg
moon	2451545.0	222.45893	-10.90338
moon	2461223.5	304.70066	-22.12899
moon	2461240.5	176.22505	-0.94916
moon	2466154.5	118.29022	24.54536
io	2451545.0	23.86208	8.59455
io	2461223.5	122.29904	20.57305
io	2461240.5	126.15161	19.76405
io	2466154.5	181.33492	0.82027
europa	2451545.0	23.86677	8.59187
europa	2461223.5	122.25038	20.58477
europa	2461240.5	126.15584	19.76233
europa	2466154.5	181.35229	0.80913
ganymede	2451545.0	23.85235	8.58407
ganymede	2461223.5	122.31003	20.57204
ganymede	2461240.5	126.17930	19.75556
ganymede	2466154.5	181.37330	0.79774
callisto	2451545.0	23.98606	8.64868
callisto	2461223.5	122.18082	20.60134
callisto	2461240.5	126.04135	19.79247
callisto	2466154.5	181.41542	0.77686
mimas	2451545.0	38.75781	12.61665
mimas	2461223.5	13.68443	3.26547
mimas	2461240.5	14.14386	3.37333
mimas	2466154.5	191.13877	-2.21337
enceladus	2451545.0	38.75538	12.61683
enceladus	2461223.5	13.68977	3.26435
enceladus	2461240.5	14.13246	3.37358
enceladus	2466154.5	191.13305	-2.21484
tethys	2451545.0	38.75263	12.61613
tethys	2461223.5	13.66922	3.26591
tethys	2461240.5	14.12972	3.37364
tethys	2466154.5	191.14288	-2.21292
dione	2451545.0	38.74907	12.61708
dione	2461223.5	13.68714	3.26221
dione	2461240.5	14.15640	3.37222
dione	2466154.5	191.14643	-2.21277
rhea	2451545.0	38.78138	12.62219
rhea	2461223.5	13.66789	3.26267
rhea	2461240.5	14.12231	3.37519
rhea	2466154.5	191.12359	-2.21124
titan	2451545.0	38.82221	12.61926
titan	2461223.5	13.72540	3.26627
titan	2461240.5	14.17572	3.37721
titan	2466154.5	191.14996	-2.20631
iapetus	2451545.0	38.76732	12.65874
iapetus	2461223.5	13.61724	3.27807
iapetus	2461240.5	13.99970	3.33562
iapetus	2466154.5	191.27084	-2.24050
ariel	2451545.0	317.48573	-17.01833
ariel	2461223.5	61.39295	20.67349
ariel	2461240.5	62.20299	20.82460
ariel	2466154.5	124.08284	20.35875
umbriel	2451545.0	317.48610	-17.02234
umbriel	2461223.5	61.39916	20.67976
umbriel	2461240.5	62.20628	20.82704
umbriel	2466154.5	124.08380	20.35580
titania	2451545.0	317.48520	-17.02677
titania	2461223.5	61.38706	20.67586
titania	2461240.5	62.19735	20.82423
titania	2466154.5	124.08392	20.35033
oberon	2451545.0	317.47875	-17.02344
oberon	2461223.5	61.40313	20.66809
oberon	2461240.5	62.21360	20.83021
oberon	2466154.5	124.08845	20.36340
miranda	2451545.0	317.48370	-17.02117
miranda	2461223.5	61.39732	20.67791
miranda	2461240.5	62.20704	20.82411
miranda	2466154.5	124.07855	20.35572
triton	2451545.0	305.43980	-19.20998
triton	2461223.5	4.24563	0.34988
triton	2461240.5	4.22338	0.32156
triton	2466154.5	28.80774	9.91911
jupiter	2451545.0	23.86983	8.59590
jupiter	2461223.5	122.28938	20.57572
jupiter	2461240.5	126.14479	19.76546
jupiter	2466154.5	181.33592	0.81853
saturn	2451545.0	38.76600	12.61628
saturn	2461223.5	13.68016	3.26468
saturn	2461240.5	14.14114	3.37239
saturn	2466154.5	191.13123	-2.21365
uranus	2451545.0	317.48381	-17.01884
uranus	2461223.5	61.39555	20.67611
uranus	2461240.5	62.20560	20.82203
uranus	2466154.5	124.07975	20.35793
neptune	2451545.0	305.44265	-19.21243
neptune	2461223.5	4.24760	0.34901
neptune	2461240.5	4.22608	0.32351
neptune	2466154.5	28.80741	9.91615
