body	jd_ut	ra_icrs_deg	dec_icrs_deg
mercury	2451545.0	272.08522	-24.42038
mercury	2461223.5	117.13462	18.28271
mercury	2466154.5	277.91708	-24.79425
venus	2451545.0	239.90118	-18.45185
venus	2461223.5	143.92738	16.16422
venus	2466154.5	241.53583	-18.96093
mars	2451545.0	330.52460	-13.18050
mars	2461223.5	59.86499	20.25639
mars	2466154.5	103.33817	26.64048
jupiter	2451545.0	23.86983	8.59590
jupiter	2461223.5	122.28938	20.57572
jupiter	2466154.5	181.33592	0.81853
saturn	2451545.0	38.76600	12.61628
saturn	2461223.5	13.68016	3.26468
saturn	2466154.5	191.13123	-2.21365
uranus	2451545.0	317.48381	-17.01884
uranus	2461223.5	61.39555	20.67611
uranus	2466154.5	124.07975	20.35793
neptune	2451545.0	305.44265	-19.21243
neptune	2461223.5	4.24760	0.34901
neptune	2466154.5	28.80741	9.91615
pluto	2451545.0	251.42812	-11.39642
pluto	2461223.5	307.90840	-23.24038
pluto	2466154.5	329.25376	-22.78885
sun	2451545.0	281.28898	-23.03325
sun	2461223.5	100.65001	23.07470
sun	2466154.5	280.45413	-23.08613
