body	jd_tdb	x_au	y_au	z_au
mercury	807920.000000	-0.289498131276	-0.357021153582	0.00291986338252
mercury	2780270.000000	-0.378049709132	-0.191865699687	0.0179211008786
venus	807920.000000	0.136065234187	-0.716250921805	-0.00880476654159
venus	2780270.000000	-0.685606189306	0.213684017455	0.0424523602205
earth	807920.000000	-0.634549735730	0.754755376810	0.00857895741178
earth	2780270.000000	-0.0764559522130	0.981004640647	-0.00196326394705
mars	807920.000000	-1.52506753740	0.620545926383	0.0621109732285
mars	2780270.000000	-1.65467738964	0.141297990067	0.0403944632587
jupiter	807920.000000	-1.04041730365	-5.15560300562	0.0371054071617
jupiter	2780270.000000	4.82432135743	-1.23297275313	-0.100287951972
saturn	807920.000000	-7.56411446679	5.49329290626	0.121948580421
saturn	2780270.000000	-3.14764972296	-9.44813582583	0.278525011496
uranus	807920.000000	-5.63177647253	17.8154196102	0.163944472135
uranus	2780270.000000	-15.3105236801	-10.2988479493	0.159752047945
neptune	807920.000000	-29.4260054912	-7.10193541118	0.817349342691
neptune	2780270.000000	-11.0238485798	27.8453030932	-0.319045692840
pluto	807920.000000	-24.4398347447	27.8821609878	4.01486995875
pluto	2780270.000000	4.32251565266	45.3026908610	-6.07980004207
