NEC,Name,HIP,RA2000,DE2000,Vmag,Gmag,type,HR,HD,Bayer/other,constellation,distance from Sun/ ly,B-V color,VmagMax,VmagMin
1,,HIP 34,0.09958324737,26.918108,6.434,6.314352,F7.5IV-V,9078,224758,,Pegasus,256.491012,0.514,,
2,,HIP 43,0.128698178,59.55968082,6.177,5.908125,G9III-IV,9079,224784,,Cassiopeia,427.2622651,1.032,,
3,,,0.1430878963,-53.09771355,6.48,6.415747,~,,224782A,,Phoenix,193.0135817,0.616,,
4,,HIP 63,0.181810391,45.25333529,6.347,6.332676,A0IIspSiSrHg,9080,224801,CG And,Andromeda,677.754234,-0.047,6.32,6.42
5,,HIP 88,0.2690953766,-48.80987439,5.698,5.489142,G6/8III,9081,224834,τ Phoenicis,Phoenix,546.0632326,0.911,,
6,,HIP 106,0.3302141589,49.98155694,6.217,5.971371,G7II-III,9083,224870,,Cassiopeia,724.4439714,0.97,,
7,,HIP 107,0.3338295273,-50.33737026,5.524,4.765762,M2III,9082,224865,,Phoenix,558.2197773,1.615,,
8,,HIP 122,0.398747712,-77.06572535,4.783,4.366584,K3III,9084,224889,θ Octantis,Octans,220.717729,1.254,,
9,,HIP 124,0.4042334911,61.22279986,5.567,5.453592,A8II,9085,224893,,Cassiopeia,3790.696764,0.407,,
10,,HIP 128,0.4144100765,73.61184647,6.492,6.480009,kA1hA7mF0,,224890,,Cepheus,214.4738404,0.182,,
11,,HIP 137,0.4327050439,42.36714334,6.24,6.226424,B9IIIp?(HgMn?),9086,224906,,Andromeda,1330.61185,-0.042,,
12,,HIP 145,0.4560338029,-3.027503283,5.1,5.090039,B7III-IV,9087,224926,29 Psc,Pisces,408.5205157,-0.128,,
13,,HIP 154,0.4900811322,-6.014070557,4.41,3.292785,M3III,9089,224935,30 Psc,Pisces,414.7568982,1.631,4.31,4.41
14,,HIP 171,0.5431196641,27.08183308,5.75,5.595876,G5VbFe-2,9088,224930,85 Peg,Pegasus,40.43149969,0.69,,
15,,HIP 183,0.5830294272,-29.72044125,5.022,4.994605,B5IV,9091,224990,ζ Sculptoris,Sculptor,509.3751756,-0.15,,
16,,HIP 186,0.6006947307,8.956824883,6.325,6.304925,A6V,9092,224995,31 Psc,Pisces,431.7871435,0.182,,
17,,HIP 194,0.6237587268,8.485463714,5.69,5.635739,F1V,9093,225003,32 Psc,Pisces,122.8798635,0.315,,
18,,HIP 207,0.6503860572,66.09896335,5.842,5.585219,G8III,9094,225009,,Cassiopeia,2076.434924,1.073,,
19,,HIP 238,0.7395341035,-20.04588302,6.238,6.133678,F6/7V,9095,225045,4 G. Cet,Cetus,201.7327747,0.526,,
20,,HIP 253,0.7827252682,-24.14514473,6.443,6.130807,K1III,9096,225069,5 G. Cet,Cetus,480.8273444,1.176,,
21,,HIP 274,0.8571484774,63.64051696,6.22,6.162851,B2.9Iab,9097,225094,,Cassiopeia,3505.381461,0.332,6.19,6.28
22,,HIP 301,0.9349492958,-17.33599144,4.536,4.516587,B9IVn,9098,225132,2 Cet,Cetus,227.8127837,-0.047,,
23,,HIP 302,0.9651714237,66.71218559,6.323,5.30059,M4III,9099,225136,V398 Cep,Cepheus,984.8952483,1.629,,
24,,HIP 330,1.056926888,62.28766423,5.884,5.807129,A1II-III,9100,225180,9 Cas,Cassiopeia,3662.937318,0.274,,
25,,HIP 343,1.082461733,-16.52903662,5.769,5.500603,K0III,9101,225197,7 G. Cet,Cetus,288.7513336,1.084,,
26,,HIP 345,1.084654682,-29.2688223,6.39,6.372489,A1V,9102,225200,,Sculptor,420.6444633,0.006,,
27,,HIP 355,1.125494801,-10.50952192,4.924,4.390705,K3Ib,9103,225212,3 Cet,Cetus,1605.91243,1.619,,
28,,HIP 365,1.152435523,42.09252227,6.14,6.11288,A3Vs,9105,225218,,Andromeda,1680.413237,0.159,,
29,,HIP 377,1.172116401,-71.4368901,5.585,5.567911,B8IV/V,9108,225253,,Tucana,571.931347,-0.1,,
30,,HIP 379,1.174922087,67.16644512,5.676,5.396713,K1III,9104,225216,,Cepheus,316.5050301,1.051,,
31,,HIP 394,1.223852864,34.65966701,6.11,5.929922,G3,9107,225239,,Andromeda,119.9412988,0.632,,
32,,HIP 399,1.233329181,26.64877089,6.25,5.802541,K4IIIb,9109,225276,,Pegasus,610.4873681,1.368,,
33,,HIP 410,1.254933697,27.67479084,6.462,6.216911,G8II,,225292,,Pegasus,427.2622618,0.946,,
34,,HIP 417,1.265928128,-0.5030357268,6.298,6.025777,K0III,2,6,,Pisces,469.0652574,1.099,,
35,,HIP 418,1.275628669,61.31397009,5.791,5.775652,B6III,9110,225289,,Cassiopeia,724.443973,-0.067,5.71,5.81
36,,HIP 443,1.33392155,-5.707619916,4.61,4.318301,K0III-IV,3,28,33 Psc,Pisces,128.4476204,1.029,4.61,4.69
37,,HIP 476,1.424840055,13.39626813,5.537,5.311919,G5III,4,87,86 Peg,Pegasus,372.5724818,0.901,,
38,,HIP 518A,1.565891108,58.43669646,6.42,6.221867,G3V,,,,Cassiopeia,66.12585398,0.687,5.96,6.026
39,,HIP 522,1.579897185,-49.07518646,5.76,5.586702,F7V,6,142,,Phoenix,83.62652022,0.519,,
40,,HIP 531,1.610572193,64.19615797,5.59,5.53836,B9IIIe,7,144,10 Cas,Cassiopeia,981.9286467,-0.023,,
41,,HIP 544,1.653266695,29.02150353,6.07,5.878327,G8V,8,166,V439 And,Andromeda,44.66982717,0.752,6.13,6.17
42,,HIP 560,1.708693016,-23.10754046,6.173,6.094202,F3V,9,203,9 G. Cet,Cetus,127.393664,0.386,,
43,,HIP 602,1.826107653,-17.38699254,6.203,6.178448,A3Vn_sh,10,256,10 G. Cet,Cetus,522.4347383,0.133,,
44,,HIP 635,1.933796531,-2.548680152,6.43,6.411014,ApSi,11,315,4 Cet,Pisces,487.295184,-0.146,,
45,,HIP 636,1.945414945,-22.50855699,5.923,5.916884,A1VbmA2_lB,12,319,11 G. Cet,Cetus,261.8475226,0.141,,
46,,HIP 655,2.01452875,-33.52932472,5.662,5.364674,K1III,13,344,,Sculptor,325.3494134,1.119,,
47,,HIP 664,2.050398131,-2.447705718,6.22,5.654861,K2IIICNIVp,14,352,5 Cet,Pisces,1003.076271,1.366,6.1,6.3
48,,HIP 671,2.073051795,-8.824111623,5.98,5.71609,K1II,16,360,12 G. Cet,Cetus,332.9928086,1.034,,
49,Alpheratz,HIP 677,2.09691619,29.09043112,2.06,,B8IV-VHgMn,15,358,α Andromedae,Andromeda,97.02381607,-0.038,2.06,2.1
50,,HIP 695,2.136910426,63.20403299,6.42,6.102476,G3II,,371,,Cassiopeia,1502.303075,0.998,,
51,,HIP 696,2.139570603,-17.57815503,6.13,5.32114,M0/1IIICNVp,18,402,CF Cet,Cetus,1347.107457,1.664,,
52,,HIP 716,2.217233387,25.46298489,6.246,5.9872,G8II-III,19,417,,Pegasus,419.0242386,0.976,,
53,,HIP 728,2.250670027,28.24754157,6.47,6.440394,A4Vm,,434,,Pegasus,376.8789434,0.242,,
54,,HIP 730,2.259971195,-54.00195522,6.33,6.259225,G8III+A/F,23,469,,Phoenix,465.7139844,0.738,,
55,,HIP 729,2.260103096,18.21196522,5.555,5.286279,G9III,22,448,87 Peg,Pegasus,291.8532224,1.043,,
56,Caph,HIP 746,2.29452158,59.1497811,2.27,2.232691,F2III,21,432,β Cassiopeiae,Cassiopeia,54.74265575,0.34,2.25,2.31
57,,,2.334032859,79.71455492,6.12,,A6IV,20,431A,,Cepheus,380.8398518,0.203,,
58,,HIP 761,2.337340926,-27.98799035,6.19,,~,24,493,* kap01 Scl B,Sculptor,223.7475639,0.414,,
59,,HIP 761,2.33778532,-27.98792454,6.13,,~,24,493,* kap01 Scl A,Sculptor,223.7475639,0.414,,
60,,HIP 765,2.352667056,-45.74742391,3.87,3.601785,K0III,25,496,ϵ Phoenicis,Phoenix,140.0343226,1.013,,
61,,HIP 798,2.467150775,-62.2967939,6.33,6.321842,A6V,,565,,Tucana,442.3332578,0.164,,
62,,HIP 814,2.509052044,-82.22404708,5.283,5.007471,K1/2III,30,636,γ 3 Octantis,Octans,242.379134,1.049,,
63,,HIP 813,2.509179173,11.14581581,5.53,5.53802,B9Vn,26,560,34 Psc,Pisces,324.7013203,-0.064,,
64,,HIP 840,2.578630028,-5.248588046,5.844,5.583744,K0III,29,587,67 G. Psc,Pisces,179.3179825,0.973,,
65,,HIP 841,2.580193752,46.07227104,5.04,4.908891,F5II,27,571,22 And,Andromeda,1006.173273,0.405,,
66,,HIP 873,2.678475447,-12.57989824,5.849,5.583679,K0III,31,645,14 G. Cet,Cetus,212.3779812,1,,
67,,HIP 910,2.816075165,-15.46797791,4.89,4.763619,F8VFe-0.8CH-0.5,33,693,6 Cet,Cetus,61.57912894,0.487,,
68,,HIP 930,2.893419661,-27.79971967,5.404,4.986435,K2III,34,720,κ 2 Sculptoris,Sculptor,581.104981,1.346,,
69,,HIP 950,2.933421154,-35.13311471,5.239,5.12059,F5V,35,739,θ Sculptoris,Sculptor,71.1015955,0.459,,
70,,HIP 967,2.99618791,48.15239764,6.162,5.664069,K4III,36,743,,Andromeda,549.7470277,1.467,,
71,,HIP 983,3.041602352,-17.93825081,5.265,4.68605,K4III,37,787,18 G. Cet,Cetus,611.6316306,1.478,,
72,,HIP 1057,3.289593154,16.92145654,6.5,6.246632,K1III,,874,,Pegasus,454.6723512,1.05,,
73,Algenib,HIP 1067,3.308968121,15.18359843,2.84,2.853429,B2IV,39,886,γ Pegasi,Pegasus,332.9928071,-0.19,2.78,2.89
74,,HIP 1074,3.331757832,-84.99397718,5.77,4.928329,M0/1III,47,1032,,Octans,815.0002981,1.71,,
75,,HIP 1076,3.34967172,26.98754639,6.277,6.361356,F8V,40,895,,Andromeda,403.4642529,0.68,,
76,,HIP 1096,3.426017408,-26.02235136,5.937,5.28718,K5III,42,942,,Sculptor,1012.422697,1.548,,
77,,HIP 1099,3.434911947,-26.28496257,6.119,5.579134,K4III,43,943,,Sculptor,770.6870894,1.49,,
78,,HIP 1123,3.509495332,33.20604137,6.25,6.218752,A1V,44,952,,Andromeda,292.9022911,0.009,,
79,,HIP 1144,3.584124771,-27.5313951,6.46,,G5V,,1002,,Sculptor,161.1467387,0.64,,
80,,HIP 1158,3.615128361,-7.780528686,5.12,4.147413,M3+III,46,1014,AD Cet,Cetus,625.7213544,1.601,4.9,5.16
81,,HIP 1168,3.65068451,20.20670288,4.8,3.984223,M2+III,45,1013,χ Pegasi,Pegasus,325.6744304,1.572,,
82,,HIP 1170,3.660070473,-18.93286335,4.46,3.615524,M1III,48,1038,7 Cet,Cetus,492.4459874,1.64,4.26,4.46
83,,HIP 1191,3.72714784,-9.569563113,5.749,5.758081,B8.5V,51,1064,27 G. Cet,Cetus,346.8086935,-0.084,,
84,,HIP 1193,3.732909978,22.28422577,6.234,6.246143,A1p,49,1048,,Pegasus,355.1184351,-0.004,,
85,,HIP 1195,3.74275718,-34.90422282,6.159,5.714767,K3III,54,1089,,Sculptor,739.2280794,1.344,,
86,,HIP 1196,3.745168167,8.820961326,6.01,5.962865,F0,50,1061,35 Psc,Pisces,261.4276312,0.312,6.01,6.05
87,,HIP 1208,3.778961192,31.53572589,6.34,5.730356,K5,52,1075,,Andromeda,1319.837545,1.555,,
88,,HIP 1215,3.794019848,27.28344122,6.342,6.350903,A1Vn,53,1083,,Andromeda,411.6175158,-0.002,,
89,,HIP 1236,3.842774738,-32.04526879,6.2,,M7/8IIIe,,1115,S Scl,Sculptor,1530.518386,1.08,5.5,13.6
90,,HIP 1269,3.978522423,61.0001756,6.432,6.204896,G8III,,1142,,Cassiopeia,565.9720553,0.838,,
91,,HIP 1288,4.036944674,-31.44639094,5.642,5.226078,K2III,57,1187,,Sculptor,426.7015455,1.35,,
92,,HIP 1302,4.089703748,43.59505094,6.15,6.145066,A2VpSi,56,1185,,Andromeda,303.2560557,0.068,,
93,,HIP 1319,4.141841068,8.240157252,6.121,5.910564,G8II-III,59,1227,36 Psc,Pisces,441.7334066,0.919,,
94,,HIP 1331,4.176426112,-20.21006133,6.491,6.496051,B6III/IV,61,1256,,Cetus,611.6316307,-0.108,,
95,,HIP 1339,4.190325922,10.24478092,6.49,5.351096,M0,,1255,,Pisces,3431.57503,1.864,,
96,,HIP 1354,4.237679744,61.53318574,5.737,5.50471,G8III,60,1239,,Cassiopeia,641.7312228,0.898,,
97,,HIP 1366,4.272926514,38.68163573,4.61,4.560256,A2V,63,1280,θ Andromedae,Andromeda,253.105827,0.059,,
98,,HIP 1372,4.287683471,47.9474061,5.852,5.835224,B7III,62,1279,,Cassiopeia,953.2178137,-0.079,,
99,,HIP 1402,4.386262708,-19.05109374,6.446,6.357826,F3V,66,1343,29 G. Cet,Cetus,159.2575666,0.386,,
100,,HIP 1415,4.429430472,51.4330879,6.14,6.089311,O9.2II+O8V((f)),65,1337,AO Cas,Cassiopeia,5719.313461,-0.151,6.07,6.24
101,,HIP 1421,4.448743802,1.688729746,6.176,5.947009,K0III,67,1367,76 G. Psc,Pisces,329.6252262,0.937,,
102,,HIP 1444,4.495285823,-13.45564087,6.5,6.369294,G0V,,1388,,Cetus,85.25097503,0.599,,
103,,HIP 1465,4.571857861,11.20621543,6.045,5.79928,K0III,69,1419,,Pisces,447.8035286,1.036,,
104,,HIP 1473,4.581905703,36.78522459,4.52,4.501519,A2V,68,1404,σ Andromedae,Andromeda,141.0644762,0.054,,
105,,HIP 1493,4.659408701,31.51722831,5.875,5.874144,A0IV,71,1439,,Andromeda,543.3346036,-0.014,,
106,,HIP 1499,4.674448649,-8.053001064,6.46,6.307263,G3VFe0.5,72,1461,,Cetus,76.45107016,0.68,,
107,,HIP 1501,4.675703683,43.79114117,6.11,6.09803,B8V,70,1438,26 And,Andromeda,692.1438786,-0.074,,
108,,HIP 1502,4.677337099,-43.23556907,6.328,5.971808,K2III,73,1483,,Phoenix,380.8398511,1.21,,
