proper	class	hip	hd
Babcock's star	discovery-designation	112247	215441
Campbell's Hydrogen Star	discovery-designation	96295	184738
Groombridge 1830	discovery-designation	57939	103095
Groombridge 34	discovery-designation	1475	1326
Kapteyn's Star	discovery-designation	24186	33793
Kruger 60	discovery-designation	110893	239960
Lacaille 8760	discovery-designation	105090	202560
Lacaille 9352	discovery-designation	114046	217987
Lalande 21185	discovery-designation	54035	95735
Luyten's Star	discovery-designation	36208
Ross 128	discovery-designation	57548
Ross 154	discovery-designation	92403
Ross 248	discovery-designation
Ross 614	discovery-designation	30920
Ross 686	discovery-designation
Ross 687	discovery-designation	44263
Struve 2398 A	discovery-designation	91768	173739
Struve 2398 B	discovery-designation	91772	173740
Van Maanen's Star	discovery-designation	3829
Wolf 1061	discovery-designation	80824
Wolf 359	discovery-designation
Acrab B	component-letter	78821	144218
Alkalurops B	component-letter	75415	137392
Alula Australis B	component-letter		98230
Alya B	component-letter	92951	175639
Cor Caroli B	component-letter	63121	112412
Dziban B	component-letter	86620	162004
Marsic B	component-letter	79045	145000
Revati B	component-letter	5743	7345
268 G. Cet	gould-designation	12114	16160
82 G. Eri	gould-designation	15510	20794
96 G. Psc	gould-designation	3765	4628
Cygnus X-1	catalogue-designation	98298	226868
EZ Aqr	catalogue-designation
p Eridani	latin-bayer		10361
p Eridani	latin-bayer	7751	10360
Bodu	unattributed	88267	164668
Cih	unattributed	4427	5394
Deltoton	unattributed	10644	13974
Honores	unattributed	114570	219080
Onkaria	unattributed
Ramus	unattributed	88886	166182
Ras Elased Australis	unattributed	47908	84441
Red Rectangle	unattributed	30089	44179
Tusizuo	unattributed	90139	169414
Udkadua	unattributed	116584	222107
