WGSN-ID,Name,HIP,RA2000,DE2000,Vmag,type,HR,HD,Bayer/other,constellation,distance from Sun/ ly,B-V color,VmagMax,VmagMin,WDS
10000,Parumleo,,3.961699,1.200441,11.26,,,_,WASP-32,Pisces,,0.8,,,_
10001,Citadelle,HIP 1547,4.821108315,14.05475645,8.52,K0,,1502,,Pisces,546.3121173,0.92,,,
10002,Felixvarela,HIP 2247,7.142941103,-16.22634373,9.566,K5 V,,,,Cetus,122.4391372,1.165,,,
10003,Cocibolca,HIP 3479,11.11104446,-26.51568209,7.78,G5 V,,4208,,Sculptor,106.6531638,0.66,,,
10004,Nenque,HIP 5054,15.07781952,-39.48821783,7.71,G2/3 V,,6434,,Phoenix,131.5062909,0.61,,,
10005,Emiw,HIP 5529,15.17978362,-66.18816342,8.027,K0 IV/V,,7199,,Tucana,117.0249488,0.865,,,
10006,Bélénos,HIP 6643,15.42014326,28.56669528,7.112,F8,,8574,,Pisces,144.1611563,0.574,,,
10007,Mpingo,,29.26335,0.758855,10.56,G2,,_,WASP-71,Cetus,,0.79,,,_
10008,Buna,HIP 12191,30.61719755,42.06263014,7.282,G0,,16175,,Andromeda,195.1720329,0.66,,,
10009,Koeia,HIP 12961,30.7785797,-23.08661178,10.24,M0,,,,Eridanus,77.62523354,1.41,,,
10010,Nushagak,HIP 13192,30.82902419,71.75323033,8.172,G0 V,,17156,,Cassiopeia,244.6173632,0.617,,,
10011,Muspelheim,,33.13116,51.778767,11.83,,,_,HAT-P-29,Perseus,,0.47,,,_
10012,Horna,,35.383251,32.246136,12.51,G,,_,HAT-P-38,Triangulum,,0.83,,,_
10013,Diya,,41.040041,-30.169045,10.84,,,_,WASP-72,Fornax,,,,,_
10014,Chaophraya,,43.68805906,-10.89806256,11.44,G9V,,,WASP-50,Eridanus,,0.99,,,
10015,Ayeyarwady,HIP 13993,45.00296012,-20.80260481,7.97,G8/K0 IV,,18742,,Eridanus,417.0889142,0.94,,,
10016,Intan,HIP 15578,45.3451927,-33.73010375,9.92,K3/4 IV,,20868,,Fornax,159.4905163,1.037,,,
10017,Tupi,HIP 17096,45.66197111,-52.91583817,7.12,F8/G0 V,,23079,,Reticulum,112.850142,0.58,,,
10018,Tojil,,52.818029,-23.819678,11.99,G,,_,WASP-22,Eridanus,,0.39,,,_
10019,Hoggar,HIP 21109,60.52373721,4.575294722,8.54,G8 IV,,28678,,Taurus,550.9435391,1.01,,,
10020,Mouhoun,HIP 22491,60.83829484,-24.36884272,8.07,K0 III,,30856,,Eridanus,394.8776597,0.961,,,
10021,Berehynia,,66.248062,39.460642,12.41,G5,,_,HAT-P-15,Perseus,,0.61,,,_
10022,Montuno,,66.370903,-30.600447,10.04,F5,,_,WASP-79,Eridanus,,0.41,,,_
