kind	letter	sup	num	dc	half	component	hip	hr	hd	source
bayer	A			And			6999		9057	iv27a
bayer	b			And			10340		13520	iv27a
bayer	c			And			10819		14212	iv27a
bayer	α			And			677	15	358	nec
bayer	β			And			5447	337	6860	nec
bayer	γ	1		And			9640	603	12533	nec
bayer	γ	2		And					12534	iv27a
bayer	δ			And			3092	165	3627	nec
bayer	ε			And			3031	163	3546	nec
bayer	ζ			And			3693	215	4502	nec
bayer	η			And			4463	271	5516	nec
bayer	θ			And			1366	63	1280	nec
bayer	ι			And			116631	8965	222173	nec
bayer	κ			And			116805	8976	222439	nec
bayer	λ			And			116584	8961	222107	nec
bayer	μ			And			4436	269	5448	nec
bayer	ν			And			3881	226	4727	nec
bayer	ξ			And			6411	390	8207	nec
bayer	ο			And			113726	8762	217675	nec
bayer	π			And			2912	154	3369	nec
bayer	ρ			And			1686	82	1671	nec
bayer	σ			And			1473	68	1404	nec
bayer	τ			And			7818	477	10205	nec
bayer	υ			And			7513	458	9826	nec
bayer	φ			And			5434	335	6811	nec
bayer	φ			And		A	5434	335	6811	nec
bayer	φ			And		B	5434	335	6811	nec
bayer	χ			And			7719	469	10072	nec
bayer	ψ			And			117221	9003	223047	nec
bayer	ω			And			6813	417	8799	nec
bayer	α			Ant			51172	4104	90610	nec
bayer	δ			Ant			51376	4118	90972	nec
bayer	ε			Ant			46515	3765	82150	nec
bayer	ζ	1		Ant			46657	3781	82384	nec
bayer	ζ	2		Ant			46734	3789	82513	nec
bayer	η			Ant			48926	3947	86629	nec
bayer	θ			Ant			47758	3871	84367	nec
bayer	ι			Ant			53502	4273	94890	nec
bayer	α			Aps			72370	5470	129078	nec
bayer	β			Aps			81852	6163	149324	nec
bayer	γ			Aps			81065	6102	147675	nec
bayer	δ	1		Aps			80047	6020	145366	nec
bayer	δ	2		Aps			80057	6021	145388	nec
bayer	ε			Aps			70248	5336	124771	nec
bayer	ζ			Aps			84969	6417	156277	nec
bayer	η			Aps			69896	5303	123998	nec
bayer	θ			Aps			68815	5261	122250	nec
bayer	ι			Aps			84979	6411	156190	nec
bayer	κ	1		Aps			76013	5730	137387	nec
bayer	κ	2		Aps			76750	5782	138800	nec
bayer	A			Aql			94982		181333	iv27a
bayer	b			Aql			95447		182572	iv27a
bayer	c			Aql			95793		183324	iv27a
bayer	d			Aql			95073		181440	iv27a
bayer	e			Aql			95937		183630	iv27a
bayer	f			Aql			95066		181391	iv27a
bayer	g			Aql			93526		176984	iv27a
bayer	h			Aql			93717		177463	iv27a
bayer	i			Aql			93429		176678	iv27a
bayer	l			Aql			101847		196574	iv27a
bayer	α			Aql			97649	7557	187642	nec
bayer	β			Aql			98036	7602	188512	nec
bayer	γ			Aql			97278	7525	186791	nec
bayer	δ			Aql			95501	7377	182640	nec
bayer	ε			Aql			93244	7176	176411	nec
bayer	ζ			Aql			93747	7235	177724	nec
bayer	η			Aql			97804	7570	187929	nec
bayer	θ			Aql			99473	7710	191692	nec
bayer	ι			Aql			96468	7447	184930	nec
bayer	κ			Aql			96483	7446	184915	nec
bayer	λ			Aql			93805	7236	177756	nec
bayer	μ			Aql			96229	7429	184406	nec
bayer	ν			Aql			95585	7387	182835	nec
bayer	ξ			Aql			97938	7595	188310	nec
bayer	ο			Aql			97675	7560	187691	nec
bayer	π			Aql			97473	7544	187259	nec
bayer	π			Aql					187260	iv27a
bayer	π			Aql		A	97473	7544	187259	nec
bayer	ρ			Aql			99742	7724	192425	nec
bayer	σ			Aql			96665	7474	185507	nec
bayer	τ			Aql			98823	7669	190327	nec
bayer	υ			Aql			97229	7519	186689	nec
bayer	φ			Aql			98103	7610	188728	nec
bayer	χ			Aql			96957	7497	186203	nec
bayer	χ			Aql					186204	iv27a
bayer	χ			Aql		A	96957	7497	186203	nec
bayer	ψ			Aql			97139	7511	186547	nec
bayer	ω	1		Aql			94834	7315	180868	nec
bayer	ω	2		Aql			95002	7332	181383	nec
bayer	A	1		Aqr			116889		222547	iv27a
bayer	A	2		Aqr			116904		222561	iv27a
bayer	A	2		Aqr			116901		222574	iv27a
bayer	b	1		Aqr			115438		220321	iv27a
bayer	b	2		Aqr			115669		220704	iv27a
bayer	b	3		Aqr			116247		221565	iv27a
bayer	c	1		Aqr			114119		218240	iv27a
bayer	c	2		Aqr			114341		218594	iv27a
bayer	c	3		Aqr			114375		218640	iv27a
bayer	d			Aqr			106944		206067	iv27a
bayer	e			Aqr			109472		210424	iv27a
bayer	f			Aqr			110778		212697	iv27a
bayer	f			Aqr					212698	iv27a
bayer	g			Aqr			112211		215167	iv27a
bayer	h			Aqr			113996		218060	iv27a
bayer	h			Aqr			117756		223807	iv27a
bayer	i	1		Aqr			117089		222847	iv27a
bayer	i	2		Aqr		A	117218	9002	223024	nec
bayer	i	2		Aqr		B	117218	9002	223024	nec
bayer	i	3		Aqr			117629		223640	iv27a
bayer	k			Aqr			102624		198026	iv27a
