name	aliases	hip	hip_component	hr	hd	hd_component	vmag	source	src_id
Alpheratz		677		15	358		2.06	nec	49
Caph		746		21	432		2.27	nec	56
Algenib		1067		39	886		2.84	nec	73
Ankaa		2081		99	2261		2.38	nec	133
Fulu		2920		153	3360		3.66	nec	190
Schedar		3179		168	3712		2.23	nec	206
Diphda		3419		188	4128		2.01	nec	221
Shimu		3693		215	4502		4.06	nec	244
Achird		3821		219	4614		3.44	nec	257
Castula		4422		265	5395		4.622	nec	298
Kui		4463		271	5516		4.42	nec	303
Wurren		5348		338	6882		4.014	nec	357
Mirach		5447		337	6860		2.05	nec	365
Revati		5737		361	7344		5.19	nec	387
Adhil		6411		390	8207		4.868	nec	420
Ruchbah		6686		403	8538		2.68	nec	440
Alpherg		7097		437	9270		3.62	nec	466
Titawin		7513		458	9826		4.1	nec	495
Achernar		7588		472	10144		0.46	nec	499
Nembus		7607		464	9927		3.57	nec	502
Torcular		8198		510	10761		4.26	nec	545
Baten Kaitos		8645		539	11353		3.72	nec	573
Mothallah		8796		544	11443		3.42	nec	580
Mesarthim		8832		546			4.52	nec	583
Segin		8886		542	11415		3.37	nec	589
Sheratan		8903		553	11636		2.65	nec	590
Mira		10826		681	14386		6.47	nec	624
Alrescha		9487		596	12447		4.11	nec	629
Almach		9640		603	12533		2.1	nec	647
Hamal		9884		617	12929		2.01	nec	660
Polaris		11767		424	8890		2.02	nec	776
Kaffaljidhma		12706		804	16970	A	3.54	nec	837
Lilii Borea		13061		824	17361		4.51	nec	864
Bharani		13209		838	17573		3.594	nec	875
Miram		13268		834	17506		3.79	nec	880
Angetenar		13288		850	17824		4.77	nec	883
Azha		13701		874	18322		3.87	nec	907
Acamar		13847		897	18622		3.18	nec	920
Menkar		14135		911	18884		2.53	nec	949
Algol		14576		936	19356		2.12	nec	977
Misam		14668		941	19476		3.81	nec	982
Botein		14838		951	19787		4.37	nec	995
Dalim		14879		963	20010		3.98	nec	998
Zibal		15197		984	20320		4.8	nec	1017
Mirfak		15863		1017	20902		1.79	nec	1068
Ran		16537		1084	22049		3.73	nec	1123
Rana		17378		1136	23249		3.54	nec	1168
Atik		17448		1131	23180		3.91	nec	1173
Celaeno		17489		1140	23288		5.46	nec	1180
Electra		17499		1142	23302		3.7	nec	1182
Taygeta		17531		1145	23338		4.3	nec	1186
Maia		17573		1149	23408		3.87	nec	1191
Asterope		17579		1151	23432		5.76	nec	1192
Merope		17608		1156	23480		4.18	nec	1199
Alcyone		17702		1165	23630		2.87	nec	1204
Atlas		17847		1178	23850		3.63	nec	1221
Pleione		17851		1180	23862		5.09	nec	1222
Zaurak		18543		1231	25025		2.94	nec	1269
Menkib		18614		1228	24912		4.06	nec	1274
Beid		19587		1298	26574		4.026	nec	1329
Rhombus		19780		1336	27256		3.36	nec	1345
Keid		19849		1325	26965		4.43	nec	1352
Prima Hyadum		20205		1346	27371		3.65	nec	1380
Secunda Hyadum		20455		1373	27697		3.76	nec	1406
Beemim		20535		1393	28028		3.96	nec	1416
Ain		20889		1409	28305		3.53	nec	1449
Chamukuy		20894		1412	28319		3.41	nec	1451
Theemin		21393		1464	29291		3.82	nec	1495
Aldebaran		21421		1457	29139		0.86	nec	1498
Sceptrum		21594		1481	29503	A	3.89	nec	1513
Tabit		22449		1543	30652		3.19	nec	1572
Hassaleh		23015		1577	31398		2.69	nec	1620
Almaaz		23416		1605	31964		2.99	nec	1647
Saclateni		23453		1612	32068		3.75	nec	1651
Haedus		23767		1641	32630		3.18	nec	1681
Cursa		23875		1666	33111		2.79	nec	1690
Mago		24003		1636	32518		6.42	nec	1700
Rigel		24436		1713	34085		0.13	nec	1731
Capella		24608		1708	34029		0.08	nec	1746
Bellatrix		25336		1790	35468		1.64	nec	1819
Elnath		25428		1791	35497		1.65	nec	1826
Nihal		25606		1829	36079		2.84	nec	1847
Mintaka		25930		1852	36486		2.41	nec	1880
Arneb		25985		1865	36673		2.57	nec	1887
Meissa		26207		1879	36861		3.47	nec	1910
Hatysa		26241		1899	37043		2.77	nec	1921
Alnilam		26311		1903	37128		1.69	nec	1932
Tianguan		26451		1910	37202		3.03	nec	1949
Phact		26634		1956	37795		2.65	nec	1969
Alnitak		26727		1948	37742		1.9	nec	1977
Saiph		27366		2004	38771		2.06	nec	2028
Wazn		27628		2040	39425		3.12	nec	2050
Betelgeuse		27989		2061	39801		0.42	nec	2085
Menkalinan		28360		2088	40183		1.9	nec	2114
Mahasim		28380		2095	40312		2.62	nec	2115
