# Search crosswalk + morphological type for notable Local Group
# objects. `name` matches the LVDB `name` column (or a standalone
# override row's name); `type` is the dropdown's object-type string;
# `aliases` is a |-separated list of additional typeable designations
# (catalog cross-IDs + common names). Objects without a row default to
# "Dwarf spheroidal" when their display name carries that suffix, else
# "Dwarf galaxy". Designation sources: McConnachie 2012 (AJ 144, 4)
# Table 1 cross-IDs + NED common names.
name	type	aliases
M31	Spiral galaxy	Andromeda Galaxy|NGC 224|Messier 31|M 31
M33	Spiral galaxy	Triangulum Galaxy|NGC 598|Messier 33|M 33
LMC	Magellanic irregular	LMC|Nubecula Major
SMC	Magellanic irregular	SMC|NGC 292|Nubecula Minor
M 32	Dwarf elliptical	NGC 221|Messier 32|M32
NGC 205	Dwarf elliptical	M 110|M110|Messier 110
NGC 185	Dwarf elliptical
NGC 147	Dwarf elliptical	DDO 3
NGC 6822	Dwarf irregular	Barnard's Galaxy|IC 4895
IC 10	Dwarf irregular	UGC 192
IC 1613	Dwarf irregular	UGC 668|DDO 8
WLM	Dwarf irregular	Wolf-Lundmark-Melotte|DDO 221|UGCA 444
Leo A	Dwarf irregular	Leo III|DDO 69|UGC 5364
Sextans A	Dwarf irregular	UGCA 205|DDO 75
Sextans B	Dwarf irregular	UGC 5373|DDO 70
Phoenix	Dwarf irregular
Pegasus dIrr	Dwarf irregular	DDO 216|UGC 12613|Peg dIrr
Aquarius	Dwarf irregular	DDO 210
Leo P	Dwarf irregular
Leo T	Dwarf irregular
LGS 3	Dwarf irregular	Pisces Dwarf|Pisces I
Antlia B	Dwarf irregular
Sagittarius	Dwarf spheroidal	Sgr dSph|SagDEG|Sagittarius Dwarf Elliptical
Fornax	Dwarf spheroidal
Sculptor	Dwarf spheroidal
Cetus	Dwarf spheroidal
Tucana	Dwarf spheroidal
