tyc	hip	hd	gl	frozen_source_id	derived_source_id	keep_source_id	basis	evidence
			GJ 1001	4996141155411983744		4996141155411983744	v70a_astrometry	PM 1.651"/yr@156 against V/70A 1.618@154.5, plx 81.2 against 104 +- 14; CNS5's 1001 A row and SIMBAD's L 362-29 both name this source at G 11.51 for V 12.84; the only other object under the number is the L5+L5 pair GJ 1001 BC at G 18.37, and the bare cell reaches neither by rule
			GJ 1245A	2079074130463898624	2079073928612821760	2079074130463898624	gaia_photometry	GJ 1245 A is G 208-44 at V 13.41 (M5.5); the frozen source is its light at G 11.54 (2p, ipd 76: C blended in); the derived source at G 11.91 with plx 214.6 mas is G 208-45 = GJ 1245 B (V 14.01), the one row CNS5 lists for 1245 and the bare-number fold reached; SIMBAD's letters agree with the photometry
			GJ 3261	3296932482569720192		3296932482569720192	v70a_astrometry	GJ 3261 (V/70A NN 3261): sep 4.1"; PM 0.152"/yr@146° vs Gaia 0.048"/yr@136° (RUWE 5.1, an unresolved pair); V 12.89 vs G 12.03; photometric plx 63±8 vs 16.1 mas
			GJ 3527	576949798755602560		576949798755602560	v70a_astrometry	PM 0.388"/yr@255 against V/70A 0.384@258, plx 42.6 against 49 +- 23; CNS5 lists 3527 A on this source and 3527 B (G 15.86) on another and SIMBAD holds it as GJ 3527, so the bare cell reaches neither by rule; G 10.68 for V 11.82
			GJ 3536	1147659521129543040		1147659521129543040	v70a_astrometry	GJ 3536 (V/70A NN 3536): Gaia 2p solution, so the 41.2" offset at 1950 is V/70A's own PM 0.669"/yr × 66 yr unapplied; V 11.92 vs G 11.38
			GJ 3673	766993095440555520		766993095440555520	v70a_astrometry	GJ 3673 (V/70A NN 3673): Gaia 2p solution, so the 46.3" offset at 1950 is V/70A's own PM 0.701"/yr × 66 yr unapplied; V 13.11 vs G 12.43
			GJ 3775	3688439268658769664		3688439268658769664	simbad_dr2_object	SIMBAD holds the id as Gaia DR2 3688439268658769664 and that object carries GJ 3775 (G 62-28, LP 557-46); no DR3 successor recorded
			GJ 3981	4545365955238156800		4545365955238156800	simbad_dr2_object	SIMBAD holds the id as Gaia DR2 4545365955238156800 and that object carries GJ 3981 (G 139-3); no DR3 successor recorded
			GJ 4032	4502798839309818368		4502798839309818368	v70a_astrometry	PM 0.332"/yr@227 against V/70A 0.347@232, plx 48.2 against 57 +- 11; CNS5 lists 4032 A on this source and 4032 B (G 12.56) on a second one, so the bare cell reaches neither by rule; G 12.10 for V 12.69 (RUWE 23, ipd 72: the pair blended)
			GJ 4192	1740318205718571392	1740318210014704256	1740318210014704256	simbad_dr2_object	SIMBAD holds the frozen id as Gaia DR2 and the derived id as its DR3 renumbering on G 93-6 = GJ 4192; G 12.93 for V 13.64, a 2p source
			GJ 4212	1800587798162719232	1800587802453920640	1800587802453920640	simbad_dr2_object	SIMBAD holds the frozen id as Gaia DR2 and the derived id as its DR3 renumbering on G 188-19 = GJ 4212; G 12.73 for V 13.97, a 2p source
			Gl 167.2	4895737258258001536		4895737258258001536	v70a_astrometry	Gl 167.2: sep 12.4"; PM 0.700"/yr@59° vs 0.701"/yr@60°; V 11.80 vs G 11.02; plx 52±10 vs 28.1 mas (RUWE 9.9)
			Gl 168.1	48190190192608896		48190190192608896	v70a_astrometry	Gl 168.1: V/70A B1950 position vs Gaia DR3 at 1950 sep 6.2" (V/70A precision ~6"); PM 0.003"/yr vs 0.002"/yr, both below V/70A resolution; V 15.04 vs G 14.34. V/70A trig plx 70±19 mas against Gaia 0.82 mas: the 1991 parallax is spurious, the binding is not
			Gl 168.2	48191667661477120		48191667661477120	v70a_astrometry	Gl 168.2: sep 3.3"; PM 0.28"/yr@148° vs Gaia 0.301"/yr@148°; V 15.77 vs G 14.66; plx 59±15 vs 13.4 mas
			Gl 200.1	4770375340505228928		4770375340505228928	v70a_astrometry	Gl 200.1: sep 3.1"; PM 0.512"/yr@154° vs 0.539"/yr@151°; V 13.19 vs G 12.74; plx 45±10 vs 11.4 mas (RUWE 5.5)
			Gl 268.5	3032685482982244096		3032685482982244096	v70a_astrometry	Gl 268.5: sep 5.8"; PM 0.267"/yr@216° vs 0.274"/yr@208°; V 12.11 vs G 11.47; resulting plx 19±4 vs 20.8 mas
			Gl 318.1	917113609487713920		917113609487713920	v70a_astrometry	Gl 318.1: sep 10.8"; PM 0.468"/yr@242° vs 0.448"/yr@242°; V 14.11 vs G 13.06; plx 47±10 vs 19.4 mas
			Gl 514.1	3630015546177181952		3630015546177181952	v70a_astrometry	PM 1.211"/yr@247 against V/70A 1.202@246, plx 62.3 against 67.4 +- 4.9; CNS5 lists it as 514.1 B and SIMBAD as GJ 9447, a renumbering no bridge carries; G 12.71 for V 14.25
			Gl 575.1	1275744757390360064		1275744757390360064	v70a_astrometry	Gl 575.1: sep 6.1"; PM 0.295"/yr@125° vs 0.295"/yr@125°; V 12.75 vs G 11.78; plx 45±9 vs 33.4 mas
			Gl 629.3	5940508153511960192		5940508153511960192	v70a_astrometry	Gl 629.3: PM 0.599"/yr@185° vs 0.582"/yr@185°; V 12.38 vs G 11.69; plx 52±14 vs 36.5 mas. V/70A position 99" off, a coordinate slip in the catalogue beside a proper motion that matches to 3%
			Gl 705.2	2125370033920918784		2125370033920918784	v70a_astrometry	Gl 705.2: sep 3.1"; PM 0.403"/yr@261° vs 0.402"/yr@260°; V 12.51 vs G 11.76; plx 51±12 vs 35.3 mas
			Gl 776.1	6673307841343417856		6673307841343417856	v70a_astrometry	Gl 776.1: sep 1.7"; PM 0.584"/yr@271° vs 0.592"/yr@270°; V 12.15 vs G 11.40; resulting plx 23±5 vs 27.3 mas
			Gl 828.5	2274076297221555968		2274076297221555968	v70a_astrometry	PM 0.319"/yr@170 against V/70A 0.300@170, plx 45.0 against 48.8 +- 2.2; CNS5 lists it as 828.5 A and SIMBAD as GJ 9743; G 12.89 for V 12.80, a DA white dwarf
			Gl 836.4	6844519325638029184		6844519325638029184	v70a_astrometry	Gl 836.4: sep 3.0"; PM 0.695"/yr@174° vs 0.693"/yr@171°; V 12.80 vs G 11.62; plx 32±5 vs 31.2 mas
			Gl 85.1	329448322594099072		329448322594099072	v70a_astrometry	Gl 85.1: sep 4.2"; PM 0.567"/yr@213° vs 0.551"/yr@215°; V 13.74 vs G 12.71; plx 45±10 vs 30.5 mas
			Gl 852.1	2735478934409535872		2735478934409535872	v70a_astrometry	Gl 852.1: sep 1.2"; PM 0.226"/yr@105° vs 0.218"/yr@107°; V 13.55 vs G 12.53; plx 52±14 vs 26.0 mas
			Gl 893.1	2631876970245863552		2631876970245863552	v70a_astrometry	Gl 893.1: sep 5.2"; PM 0.376"/yr@245° vs 0.382"/yr@244°; V 15.42 vs G 15.32 (DQ6 white dwarf); plx 41±7 vs 38.6 mas
1326-1023-1		252707		3423484346781287808		3423484346781287808	gaia_photometry	the record's own TYC resolves to this source at 0.41" and SIMBAD's object for the TYC carries it; G - V(Tycho-2) = 1.05 sits at the gate's threshold, inside Tycho-2's photometric scatter at VT 11-12
1336-496-1		258774		3372239996760122624		3372239996760122624	gaia_photometry	the record's own TYC resolves to this source at 0.39" and SIMBAD's object for the TYC carries it; G - V(Tycho-2) = 1.05 sits at the gate's threshold, inside Tycho-2's photometric scatter at VT 11-12
155-1804-1		261336		3130992611458940288		3130992611458940288	gaia_photometry	the record's own TYC resolves to this source at 0.51" and SIMBAD's object for the TYC carries it; G - V(Tycho-2) = 1.04 sits at the gate's threshold, inside Tycho-2's photometric scatter at VT 11-12
2265-1793-1	1997			2862908788720038400	2862908793015820928	2862908793015820928	pair_component	record keys hip:1997; the HIP walk and SIMBAD (HD 2094A, TYC 2265-1861-1) bind the brighter component at G 9.27, the TYC walk on the record's own TYC 2265-1793-1 binds HD 2094B at G 9.57, 5" away; Hipparcos V 8.78 is the pair's blend, so the record follows its canonical key onto the primary and its TYC cell names the secondary
2394-1580-1		242382		181055690691149952		181055690691149952	gaia_photometry	the record's own TYC resolves to this source at 2.11" (25 yr of its 69 mas/yr proper motion from the 1991.25 epoch) and SIMBAD's object for the TYC carries it; G - V(Tycho-2) = 1.02 sits at the gate's threshold, inside Tycho-2's photometric scatter at VT 11-12
2465-984-1	36626		Gl 277A		898506093171335424		shared_source	HIP 36626 / TYC 2465-984-1 is SIMBAD's system object VV Lyn (WDS 07319+3613 A), which carries no Gaia source; CNS5 and SIMBAD bind the derived source to component GJ 277 A / VV Lyn A (WDS Aa), which the spine already carries as its own row on that source; the source stays on the component row and this row keys hip:36626
3053-2051-1	76202		Gl 588.1	1375767325868833152		1375767325868833152	tycho2_position	TYC 3053-2051-1 / HIP 76202 / Gl 588.1: Tycho-2 supplement (Hipparcos) position at J1991.25 sep 0.16"; VT 11.35 vs G 10.79; PM 0.080"/yr@181° vs 0.082"/yr@179°; V/70A position sep 1.8", PM 0.08"/yr@166°
3225-2746-1		219334		1918504514656151680		1918504514656151680	tycho2_position	TYC 3225-2746-1 / HD 219334: sep 0.14"; VT 8.53 vs G 8.71; PM 0.009"/yr@207° vs 0.009"/yr@202°
3678-338-1		236699		413774782779964544	413774782786117120	413774782786117120	simbad_dr2_object	SIMBAD holds the frozen id as Gaia DR2 and the derived id as DR3 on the one object carrying TYC 3678-338-1 (data/athyg/stale_gaia_source_ids.tsv); the DR3 source sits 0.19" from the Tycho-2 position at G 9.78 for V 9.72
4008-1653-1		240345		1998711340986028800		1998711340986028800	tycho2_position	TYC 4008-1653-1 / HD 240345: sep 0.65"; VT 9.13 vs G 8.92; PM 0.082"/yr@241° vs 0.084"/yr@245°; RUWE 2.3
424-55-1		161698		4474053727005666816		4474053727005666816	tycho2_position	TYC 424-55-1 / HD 161698: sep 0.10"; VT 8.28 vs G 8.37; PM 0.007"/yr@201° vs 0.008"/yr@188°
4818-1844-1		296039		3108729352122339968		3108729352122339968	gaia_photometry	the record's own TYC resolves to this source at 0.20" and SIMBAD's object for the TYC carries it; G - V(Tycho-2) = 1.03 sits at the gate's threshold, inside Tycho-2's photometric scatter at VT 11-12
4949-1115-1		110298		3683686865871462912		3683686865871462912	tycho2_position	TYC 4949-1115-1 / HD 110298: sep 0.40"; VT 9.53 vs G 9.65; PM 0.050"/yr@237° vs 0.050"/yr@242°
5170-2166-1		192792		4217525702758504960		4217525702758504960	tycho2_position	TYC 5170-2166-1 / HD 192792: sep 0.25"; VT 9.84 vs G 9.72; PM 0.019"/yr@138° vs 0.013"/yr@131°; RUWE 7.3
5233-1315-1	111571	214100	Gl 864		2653762573103102592	2653762573103102592	gaia_photometry	CNS5 and SIMBAD (HIP 111571, TYC 5233-1315-1, GJ 864) bind the source at G 9.29 for V 9.98, plx 60.4 mas against V/70A 65.8 +- 6.4 and PM 0.633"/yr@175 against 0.607@175; the TYC walk's neighbour is G 13.90, 3.9 mag below the star and 4.5" away
5522-1688-1	59273			3574377684740966016		3574377684740966016	tycho2_position	the record's TYC 5522-1688-1 is the best neighbour at 0.15" and Tycho-2's J2000 position sits 1.24" from the J2016 source, which 16 yr of its 73 mas/yr proper motion accounts for; VT 8.12 / BT 8.74 give V 8.06 against G 8.51 where Hipparcos prints 6.65 for HIP 59273, the component C SIMBAD lists for WDS 12095-1151; the gate's refusal is against the printed cell, not the sky, and Tycho-2 links no HIP to this TYC
6685-358-1		107282		3476618044331100416		3476618044331100416	tycho2_position	TYC 6685-358-1 / HD 107282: sep 0.63"; VT 8.90 vs G 8.87; PM 0.072"/yr@274° vs 0.070"/yr@270°
6751-1898-1	72511		Gl 563.2B	6228695270698475392	6228695236338166528	6228695270698475392	pair_component	record keys hip:72511, which SIMBAD (CD-25 10553A, TYC 6751-1898-1, GJ 9495 A) places on the frozen source at G 10.80 for V 11.72, the brighter of the pair as HIP 72511 is; CNS5 answers the cell's letter B with HIP 72509's source; AT-HYG's gl letters on this pair are swapped against HIP, TYC, CNS5 and SIMBAD alike
6751-1899-1	72509		Gl 563.2A		6228695270698475392	6228695236338166528	pair_component	record keys hip:72509, which SIMBAD (CD-25 10553B, TYC 6751-1899-1, GJ 9495 B) places on this source at G 11.13 for V 12.07, the fainter of the pair as HIP 72509 is; CNS5 answers the cell's letter A with HIP 72511's source (G 10.80) and the TYC walk's G 19.4 neighbour the gate refused; AT-HYG's gl letters on this pair are swapped
6989-91-1		225284		2313603126059612032	2313603126060528512	2313603126060528512	simbad_dr2_object	SIMBAD holds the frozen id as Gaia DR2 and the derived id as DR3 on HD 225284 = TYC 6989-91-1; 1.29" from the Tycho-2 position, G 8.49 for a Tycho-2 V of 8.60
7071-2045-1	28442	40887	Gl 225.2A		2891185070986964608	2891185070986964608	pair_component	the cell names A; CNS5 binds 225.2 AB to the derived source (G 8.52) and 225.2 CE to SIMBAD's object for the TYC (G 8.26, GJ 9196 C); an equal-brightness pair (V/70A A 8.28, C 8.3), so the letter decides and the derived source is the AB component
7083-501-1	28504	41070		2884234508232825984	2884234508231103616	2884234508232825984	gaia_photometry	frozen source G 6.93 for V 7.10 (RUWE 3.58, ipd 25: a blended G8 giant), 0.29" from the Tycho-2 position, SIMBAD's HD 41070 / HIP 28504 / TYC 7083-501-1; the HIP walk's neighbour 0.77" away publishes no G and no parallax, so the gate cannot weigh it
7977-931-1		199814		6484660576915985408		6484660576915985408	tycho2_position	TYC 7977-931-1 / HD 199814: Gaia 2p solution; sep 0.47" propagating with Tycho-2's PM 0.071"/yr@62°; VT 9.91 vs G 10.10
8327-553-1		329243		5963317693976270720		5963317693976270720	gaia_photometry	the record's own TYC resolves to this source at 0.84" and no other source proposes one; G - V(Tycho-2) = 1.03 sits at the gate's threshold, inside Tycho-2's photometric scatter at VT 11-12
8412-14-1		199461		6478417485468750720		6478417485468750720	gaia_photometry	the record's own TYC resolves to this source at 0.99" and no other source proposes one; G - V(Tycho-2) = 1.05 sits at the gate's threshold, inside Tycho-2's photometric scatter at VT 11-12
8628-1221-1		98279		5339147929617900800		5339147929617900800	tycho2_position	TYC 8628-1221-1 / HD 98279: Tycho-2 supplement (Tycho-1) position at J1991.25 sep 0.01"; VT 9.57 vs G 9.58; IV/25 names this TYC for HD 98279
8725-299-1		151054		5926885994686361728		5926885994686361728	tycho2_position	TYC 8725-299-1 / HD 151054: sep 0.03"; VT 9.58 vs G 9.56; IV/25 gives HD 151054 to component -1 and Tycho-2 publishes no -2 row in the pull, so SIMBAD's TYC 8725-299-2 cross-id contradicts the primaries, not the binding
