tyc	hip	hd	hr	gl	gaia_source_id	verdict	via_tyc	via_hip	via_cns5	simbad	simbad_hip	simbad_tyc	simbad_gj
				Gl 168.1	48190190192608896	unreachable				contradicts			9849
				Gl 168.2	48191667661477120	unreachable				contradicts			9850
				Gl 85.1	329448322594099072	unreachable				contradicts			9074
3678-338-1		236699			413774782779964544	unreachable				no_object			
				GJ 3673	766993095440555520	unreachable				no_crossid			
				Gl 318.1	917113609487713920	unreachable				contradicts			9274
				GJ 3536	1147659521129543040	unreachable				no_crossid			
955-793-1		142127			1191584186029145088	unreachable				no_object			
				Gl 575.1	1275744757390360064	unreachable				contradicts			9509
3053-2051-1	76202			Gl 588.1	1375767325868833152	unreachable				contradicts			9523 A
				GJ 4192	1740318205718571392	unreachable				no_object			
				GJ 4212	1800587798162719232	unreachable				no_object			
3225-2746-1		219334			1918504514656151680	unreachable				no_crossid			
4008-1653-1		240345			1998711340986028800	unreachable				no_object			
				Gl 705.2	2125370033920918784	unreachable				contradicts			9617
6989-91-1		225284			2313603126059612032	unreachable				no_object			
				Gl 893.1	2631876970245863552	unreachable				contradicts			9814
				Gl 852.1	2735478934409535872	unreachable				contradicts			9778
				Gl 268.5	3032685482982244096	unreachable				contradicts			9230
				GJ 3261	3296932482569720192	unreachable				no_crossid			
6685-358-1		107282			3476618044331100416	unreachable				no_object			
4949-1115-1		110298			3683686865871462912	unreachable				no_crossid			
				GJ 3775	3688439268658769664	unreachable				no_object			
5170-2166-1		192792			4217525702758504960	unreachable				no_object			
424-55-1		161698			4474053727005666816	unreachable				no_crossid			
				GJ 3981	4545365955238156800	unreachable				no_object			
				Gl 200.1	4770375340505228928	unreachable				contradicts			9179
				Gl 167.2	4895737258258001536	unreachable				contradicts			9151
8628-1221-1		98279			5339147929617900800	unreachable				no_object			
8725-299-1		151054			5926885994686361728	unreachable				contradicts		8725-299-2	
				Gl 629.3	5940508153511960192	unreachable				contradicts			9568
7977-931-1		199814			6484660576915985408	unreachable				no_object			
				Gl 776.1	6673307841343417856	unreachable				contradicts			9682
				Gl 836.4	6844519325638029184	unreachable				contradicts			9749
