tyc	hip	hd	gl	gaia_source_id	cell	value	reason
1004-180-1	85979	159466		4494343908427630336	flam	54	flamsteed_unattested
1004-260-1	86041	159610		4494341606325072768	flam	56	flamsteed_unattested
1179-669-1	1427	1352		2793413885704410112	flam	39	flamsteed_unattested
1180-1763-1	2415	2714		2780817605618658944	flam	49	flamsteed_unattested
1200-1028-1	6527	8442		2593493809594162176	flam	92	flamsteed_unattested
1205-1190-1	7709	10113		2592537440636481664	flam	103	flamsteed_unattested
1218-1667-1	10810	14305		87044422856456192	flam	23	flamsteed_unattested
1227-1178-1	14021	18654		35588412548063744	flam	50	flamsteed_unattested
1290-658-1	23949	33121		3407983126912316672	flam	107	flamsteed_unattested
1299-1225-1	27106	38219		3348274560284249216	flam	128	flamsteed_unattested
1306-932-1	26925	37940		3399202392691403008	flam	127	flamsteed_unattested
1337-1295-1	31368	46516		3371879253866172544	flam	22	flamsteed_unattested
1340-1614-1	30588	44974		3376305578443020160	flam	14	flamsteed_unattested
1360-1431-1	36739	60081		3168477161868847616	flam	67	flamsteed_unattested
1375-558-1	38495	64092		674990845424176512	flam	84	flamsteed_unattested
1388-355-1	39447	66347		680043788548399360	flam	7	flamsteed_unattested
1394-755-1	44336	77230		611181444018632960	flam	68	flamsteed_unattested
1396-406-1	42791	74200		658650934403008896	flam	44	flamsteed_unattested
1401-1139-1	44637	77892		611251121272814464	flam	71	flamsteed_unattested
1401-384-1	44918	78479		635095890642370560	flam	78	flamsteed_unattested
1412-386-1	48881	86359		616494524722260224	flam	26	flamsteed_unattested
1419-1435-1	49850	88233		621695489599283584	flam	33	flamsteed_unattested
1421-860-1	52120	92196		3886447534566460032	flam	50	flamsteed_unattested
1449-262-1	62819	111892		3934697437689260416	flam	33	flamsteed_unattested
1495-1511-1	77249	141040		1195918873183569152	flam	29	flamsteed_unattested
1728-723-1	117735	223792		2847695194220107776	flam	83	flamsteed_unattested
1762-704-1	7948	10407		302230943040223232	flam	1	flamsteed_unattested
1864-1702-1	28455	40545		3424540290260886144	flam	140	flamsteed_unattested
1935-237-1	39888	67402		683849468873040640	flam	11	flamsteed_unattested
1962-928-1	47382	83469		645106772214340352	flam	12	flamsteed_unattested
1979-2530-1	53195	94218		731305700693304192	flam	45	flamsteed_unattested
1979-726-1	52240	92371		734105538333909760	flam	39	flamsteed_unattested
2042-344-1	79846	146915		1301985049060710016	flam	18	flamsteed_unattested
2042-807-1	79724	146604		1301850771202612224	flam	17	flamsteed_unattested
2064-620-1	83876	155104		4572036430836998912	flam	62	flamsteed_unattested
2070-169-1	82000	151237		1310701354477617536	flam	46	flamsteed_unattested
2097-1133-1	90265		GJ 4057	4536614495522394112	hd	336196	hd_unattested
