tyc	hip	hd	gl	gaia_source_id	reason
			GJ 10001		no_v_magnitude
			GJ 10005		no_v_magnitude
			GJ 10006	2340736324254735488	no_v_magnitude
			GJ 10008		no_v_magnitude
			GJ 10014B	429297859741477888	no_v_magnitude
			GJ 10018		no_v_magnitude
			GJ 10030		no_v_magnitude
			GJ 10034		no_v_magnitude
			GJ 10036		no_v_magnitude
			GJ 10043		no_v_magnitude
			GJ 10044		no_v_magnitude
			GJ 10053		no_v_magnitude
			GJ 10063		no_v_magnitude
			GJ 10065B		no_v_magnitude
			GJ 10067		no_v_magnitude
			GJ 10069		no_v_magnitude
			GJ 10072		no_v_magnitude
			GJ 10075		no_v_magnitude
			GJ 10079		no_v_magnitude
			GJ 10081		no_v_magnitude
			GJ 10089		no_v_magnitude
			GJ 10091		no_v_magnitude
			GJ 10106		no_v_magnitude
			GJ 10108B		no_v_magnitude
			GJ 10110		no_v_magnitude
			GJ 10112		no_v_magnitude
			GJ 10115B	4634695605636055552	no_v_magnitude
			GJ 10117		no_v_magnitude
			GJ 10120		no_v_magnitude
			GJ 10126		no_v_magnitude
			GJ 10130		no_v_magnitude
			GJ 10131		no_v_magnitude
			GJ 10133		no_v_magnitude
			GJ 10136		no_v_magnitude
			GJ 10150		no_v_magnitude
			GJ 10151		no_v_magnitude
			GJ 10154		no_v_magnitude
			GJ 10162		no_v_magnitude
			GJ 10166		no_v_magnitude
			GJ 10169		no_v_magnitude
			GJ 10181		no_v_magnitude
			GJ 10196		no_v_magnitude
			GJ 10206		no_v_magnitude
			GJ 10207		no_v_magnitude
			GJ 10213		no_v_magnitude
			GJ 10223C	4711216151731910656	no_v_magnitude
			GJ 10225		no_v_magnitude
			GJ 10229		no_v_magnitude
			GJ 10235	295725407616670848	no_v_magnitude
			GJ 10238		no_v_magnitude
			GJ 10248		no_v_magnitude
			GJ 10251		no_v_magnitude
			GJ 10260		no_v_magnitude
			GJ 10262		no_v_magnitude
			GJ 10264		no_v_magnitude
			GJ 10281B		no_v_magnitude
			GJ 10283		no_v_magnitude
			GJ 10291		no_v_magnitude
			GJ 10292		no_v_magnitude
			GJ 10293		no_v_magnitude
			GJ 10294		no_v_magnitude
			GJ 10298		no_v_magnitude
			GJ 10314ABC		no_v_magnitude
			GJ 10333		no_v_magnitude
			GJ 10336	5116817882319879936	no_v_magnitude
			GJ 10337		no_v_magnitude
			GJ 10343		no_v_magnitude
			GJ 10355B		no_v_magnitude
			GJ 10373		no_v_magnitude
			GJ 10375		no_v_magnitude
			GJ 10377		no_v_magnitude
			GJ 10380		no_v_magnitude
			GJ 10382		no_v_magnitude
			GJ 10389	5185493447310441728	no_v_magnitude
			GJ 10392	2499091523644792832	no_v_magnitude
			GJ 10400		no_v_magnitude
			GJ 10410B	141963104519359872	no_v_magnitude
			GJ 10413B	5044165796088003584	no_v_magnitude
			GJ 10416		no_v_magnitude
			GJ 10418		no_v_magnitude
