a	b	note
synth:17153-2636-B	gaia_dr3:4109030160308317312	36 Oph B re-keyed: identity refutation unbound the shared source, B now promotes on its own DR3 source (same physical star as the synth twin)
synth:17068-3553-C	gaia_dr3:5977150851624495872	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:15351-4110-B	gaia_dr3:6002777448330124160	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:19268+2110-B	gaia_dr3:2018030520534025728	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:20141+2213-B	gaia_dr3:1829793683166010880	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:05371+2655-B	gaia_dr3:3441298191795447936	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:05381-0011-D	gaia_dr3:3217804105348957696	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:08189-4502-B	gaia_dr3:5519956294551460608	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:16309+0159-B	gaia_dr3:4432032213658420992	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:23516+4205-B	gaia_dr3:1921753983832433408	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:06496-2111-D	gaia_dr3:2926174039251127296	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:07431+0011-C	gaia_dr3:3085911019806294400	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:04259+6015-B	gaia_dr3:471922352132288896	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
