label	keys
1 Ari	gaia:98209860357332608|gaia:98209860357332864
15 Gem	gaia:3375636800495628160|gaia:3375636903574840832
17 Crt	gaia:3482326708703712640|gaia:3482326708703712896
17 Hya	gaia:5756766016559682944|gaia:5756766016559683200
20 Lyn	gaia:977131894795719680|gaia:977131899092457344
54 Leo	gaia:3996208310033739520|gaia:3996208310033740160
55 Eri	gaia:3185880919107361024|gaia:3185880919107441920
58 Cet	gaia:2505006999281376256|gaia:2505013291408658560
59 And	gaia:332409925884476928|gaia:332409925884477568
95 Her	gaia:4576147844112599424|gaia:4576147848417217536
AM Pic	gaia:4773489844630169216|gaia:4773489844630170240
A² Aqr	gaia:2394297418293724416|gaia:2394298380366383744
NSV 01117	gaia:119339308451628288|gaia:119339312747909888
NSV 01133	gaia:4737533134341791872|gaia:4737533237421005952
NSV 02670	gaia:3443172476866061696|gaia:3443172481165211520
NSV 03705	gaia:1095504530663886080|gaia:1095504530667401472
NSV 04463	gaia:1019003226022657920|gaia:1019003329101872896
NSV 04527	gaia:1068346971415274752|gaia:1068346971415274880
NSV 04825	gaia:5473726022486915456|gaia:5473726022486915584
NSV 06645	gaia:1608475839447750272|gaia:1608475839447750528
NSV 07201	gaia:6268749551588494848|gaia:6268749551588495360
NSV 09547	gaia:4493198182951574144|gaia:4581358880693182464
NSV 09656	gaia:4149842794949053952|gaia:4149842794949058304
NSV 10864	gaia:4052029583368412032|gaia:4052029587789425408
NSV 12185	gaia:2239212638930950144|gaia:2239212742010164736
NSV 12396	gaia:2027752677210906240|gaia:2027883965766915328
NSV 14078	gaia:2278965039453700224|gaia:2278965108173175936
NSV 14738	gaia:2766659744144486656|gaia:2766659778504225792
NSV 15624	gaia:135600265089525120|gaia:135600265089525248
NSV 15956	gaia:49177620354353152|gaia:49177620355211008
NSV 16927	gaia:3131735464701077888|gaia:3131735503361739904
NSV 17472	gaia:5510410918711770368|hip:36007
NSV 19474	gaia:5855512468688727680|gaia:5855706051455962880
NSV 20123	gaia:6099541068628869248|gaia:6099541068628872192
NSV 25448	gaia:6889338034837425920|hip:103992
NSV 26018	gaia:6502570319958250496|gaia:6502570319958250624
PP Lup	gaia:5995597225085163136|gaia:5995603100599846400
UV Aur	gaia:180919213811383680|hip:25050
V1291 Aql	gaia:4233847029462906880|gaia:4233859055371343872
V368 Pup	gaia:5586147890974343296|gaia:5586147890974345472
V411 Aur	gaia:157078601966817152|gaia:157078674983203328
d Ser	gaia:4273231054929181824|gaia:4273231123648658688
f Eri B	gaia:4856719713756946176|hip:17797
f Pup C	hip:37096|synth:synth-07374-3458-C
i Psc	gaia:2809005372903101824|gaia:2809005372903102080
k Cen	gaia:6170485544575678592|gaia:6170485544575679104
m Ori	gaia:3236198793146848256|gaia:3236198866162114048
p Eri B	gaia:4911306239828325760|synth:synth-01398-5612-B
ζ¹ CrB	gaia:1374695306328813568|gaia:1374695306328813696
ξ Sco B	gaia:4343066192373234048|gaia:4343066192373820800
