key	old	new	resolves
gaia:1004773827573309312	HIP 30491 A	HD 44271	no
gaia:1016370651589755904	15 UMa	f UMa	yes
gaia:1022858010710856576	18 UMa	e UMa	yes
gaia:1039832266928840064	HIP 45840 D	NSV 18173 D	no
gaia:1040054235130174080	16 UMa	c UMa	yes
gaia:1042950073879881600	5 UMa	b UMa	yes
gaia:104717285566534016	Lam Ari B	λ Ari B	yes
gaia:1064092479891020800	23 UMa B	h UMa B	yes
gaia:1064092789129355136	23 UMa	h UMa	yes
gaia:1068981080387248384	Sig-2 UMa C	σ² UMa C	no
gaia:1068982214258617216	Sig-2 UMa A	σ² UMa	no
gaia:1068982214258617856	Sig-2 UMa B	σ² UMa B	no
gaia:1070467379590606976	HIP 48635 D	HIP 48639 D	no
gaia:1071133340038904320	24 UMa	d UMa	yes
gaia:1088683946504369664	HIP 37975 B	NSV 17586 B	no
gaia:1091831612070647680	HIP 40882 C	HIP 40918 C	no
gaia:1092518738120160256	2 UMa	A UMa	yes
gaia:1146337324038513536	HIP 51502 B	NSV 04864 B	no
gaia:114832620743735040	HIP 13081 B	BC Ari B	no
gaia:1155163241313019776	HIP 73350	265 G. Vir	yes
gaia:1156774025847892352	NSV 20248	271 G. Vir	yes
gaia:1163129031257501696	HIP 74695	4 G. Ser Cap	yes
gaia:1173255705148136064	HIP 72527 C	NSV 06821 C	no
gaia:1173302640550040576	NSV 06821	NSV 06821 A	yes
gaia:1173302640550747008	HIP 72527 B	NSV 06821 B	no
gaia:1175750359592418176	NSV 06654	4 G. Boo	yes
gaia:118985235644116224	HIP 16042 B	UX Ari B	no
gaia:1191136444277057792	HIP 76985 A		no
gaia:1197800206298928000	Tau-7 Ser C	τ⁷ Ser C	no
gaia:1198813956016764288	HIP 79332	q Her	yes
gaia:1198898034296727680	Marsic B	κ Her B	yes
gaia:1199629656206371584	5 Her	r Her	yes
gaia:1201067435163162624	Gam Her D	γ Her D	yes
gaia:1219872489906653696	HIP 77503	QX Ser B	yes
gaia:1234645287617291392	Pi-1 Boo B	π² Boo	no
gaia:1237090738916392832	Xi Boo B	ξ Boo B	yes
gaia:1239044708517928064	22 Boo	f Boo	yes
gaia:1247168136646697728	HIP 68732 B	NSV 06537 B	no
gaia:1247168140942467200	HIP 68732 C	NSV 06537 C	no
gaia:1249218214732128640	1 Boo A	1 Boo	yes
gaia:1250169120491310720	6 Boo	e Boo	yes
gaia:1254694882149817728	NSV 06667	NSV 06667 B	yes
gaia:1254695603704323712	NSV 06667	NSV 06667 A	yes
gaia:12561615405506176	6 Tau	t Tau	yes
gaia:1257529526205454336	12 Boo	d Boo	yes
gaia:1264630412816366720	45 Boo	c Boo	yes
gaia:1265362034725248640	46 Boo	b Boo	yes
gaia:1271209615518148736	HIP 74893 B	NSV 07018 B	no
gaia:1278391075717325312	Del Boo A	δ Boo	yes
gaia:1278392381386793856	Del Boo B	δ Boo B	yes
gaia:1297158777130486144	NSV 07785	s Her	yes
gaia:1297426611292041344	HIP 80625 B	NSV 20646 B	no
gaia:1322867214413070848	HIP 79350 B	NSV 20545 B	no
gaia:1322906861255829376	Sig CrB C	σ CrB C	yes
gaia:132363027978672000	HIP 11437 B	AG Tri B	no
gaia:1328866562170960384	Sig CrB B	σ CrB B	yes
gaia:1328866562170960512	Sig CrB A	σ CrB A	yes
gaia:1333760419707327744	72 Her	w Her	yes
gaia:1334035606852913536	68 Her	u Her	yes
gaia:1337345922829546752	Rho Her B	ρ Her B	yes
gaia:1337664063942689792	59 Her	d Her	yes
gaia:1338482130657660288	HIP 83838	c Her	yes
gaia:1340068730232295552	69 Her	e Her	yes
gaia:1342915361541896064	HIP 86946 B	V826 Her B	no
gaia:1344503094987064192	90 Her	f Her	yes
gaia:1363284299777747584	88 Her	z Her	yes
gaia:1365497616683816064	77 Her	x Her	yes
gaia:1366858193604257792	82 Her	y Her	yes
gaia:1381119031215320576	30 Her	g Her	yes
